BODY;NAME;P.U.N.;NAME TYPE;TYPE;TYPECODE;NAME DETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Callisto;ADAL;CAAA7550N28030;Named formation;Crater;AA;ADAL;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Son of Karl and Erna.;280,30;280°18';75,50;75°30';41,70;41,70;Callisto;44;Adal;Adal;Crater, craters;AA;41.7;75.5;280.3;76,00;75,00;281.9;278.4;Planetographic  +East  0 - 360;;"Norse; son of Karl and Erna.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;ADLINDA;CALG4850S32440;Named formation;Large ring feature;LG;ADLINDA;Approuved by IAU in 1979;Not appliable;Greenland;Eskimo;Not appliable;Not appliable;Not appliable;Not appliable;Place in ocean depths where souls are imprisoned after death.;324,40;324°23';-48,50;-48°30';840,00;840,00;Callisto;54;Adlinda;Adlinda;Large ringed feature;LG;840,00;-48.5;324.4;-37.8;-56.2;336.6;311.2;Planetographic  +East  0 - 360;;"Eskimo; place in ocean depths where souls are imprisoned after death.";North America;Eskimo;Approved;1979;1;10/01/2006;
Callisto;AEGIR;CAAA4580S25620;Named formation;Crater;AA;AEGIR;Approuved by IAU in 1997;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Sea god.;256,20;256°11';-45,80;-45°47';53,90;53,90;Callisto;63;Aegir;Aegir;Crater, craters;AA;53.9;-45.8;256.2;-45.2;-46.4;257.2;255.4;Planetographic  +East  0 - 360;;Norse sea god.;Europe;Norse;Approved;1997;17;10/01/2006;
Callisto;AGLOOLIK;CAAA4770S27760;Named formation;Crater;AA;AGLOOLIK;Approuved by IAU in 1997;Spirit;Greenland;Eskimo;Not appliable;Not appliable;Not appliable;Not appliable;Spirit of the seal caves.;277,60;277°36';-47,70;-47°42';61,60;61,60;Callisto;86;Agloolik;Agloolik;Crater, craters;AA;61.6;-47.7;277.6;-47,00;-48.4;278.8;276.6;Planetographic  +East  0 - 360;;Eskimo spirit of the seal caves.;North America;Eskimo;Approved;1997;1;10/01/2006;
Callisto;AGROI;CAAA4320N34910;Named formation;Crater;AA;AGROI;Approuved by IAU in 1979;God;Finland;Finnish;Not appliable;Not appliable;Not appliable;Not appliable;God of twins.;349,10;349°6';43,20;43°12';67,40;67,40;Callisto;6940;Ç?grÇôi;Agroi;Crater, craters;AA;67.4;43.2;349.1;43.9;42.4;350.1;348,00;Planetographic  +East  0 - 360;;Finno-Ugric god of twins.;Europe;Finland;Approved;1979;27;11/17/08;
Callisto;AHTI;CAAA4140N25760;Named formation;Crater;AA;AHTI;Approuved by IAU in 1988;God;Finland;Finnish;Not appliable;Not appliable;Not appliable;Not appliable;God of water. sends fish to the fisherman.;257,60;257°36';41,40;41°23';54,80;54,80;Callisto;102;Ahti;Ahti;Crater, craters;AA;54.8;41.4;257.6;41.9;40.7;258.4;256.8;Planetographic  +East  0 - 360;;"Finnish god of water; sends fish to the fisherman.";Europe;Finland;Approved;1988;64;10/01/2006;
Callisto;AJLEKE;CAAA2270N25860;Named formation;Crater;AA;AJLEKE;Approuved by IAU in 1988;God;Lapland;Saami;Not appliable;Not appliable;Not appliable;Not appliable;God of holidays.;258,60;258°36';22,70;22°42';70,00;70,00;Callisto;123;Ajleke;Ajleke;Crater, craters;AA;70,00;22.7;258.6;23.6;21.9;259.6;257.7;Planetographic  +East  0 - 360;;Saami god of holidays.;Europe;Lapp;Approved;1988;64;10/01/2006;
Callisto;AKYCHA;CAAA7260N4130;Named formation;Crater;AA;AKYCHA;Approuved by IAU in 1979;God;Alaska;Alaskan;Not appliable;Not appliable;Not appliable;Not appliable;Other name of the sun.;41,30;41°17';72,60;72°35';81,00;81,00;Callisto;143;Akycha;Akycha;Crater, craters;AA;81,00;72.6;41.3;73.5;71.8;44.6;38.5;Planetographic  +East  0 - 360;;Alaskan name of the sun.;North America;Eskimo;Approved;1979;26;10/01/2006;
Callisto;ALFR;CAAA990S13730;Named formation;Crater;AA;ALFR;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Dwarf.;137,30;137°18';-9,90;-9°54';96,00;96,00;Callisto;180;Alfr;Alfr;Crater, craters;AA;96,00;-9.9;137.3;-8.7;-11,00;138.2;136,00;Planetographic  +East  0 - 360;;Norse dwarf.;Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;ALI;CAAA5900N30410;Named formation;Crater;AA;ALI;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Strongest of men.;304,10;304°6';59,00;59°0';32,90;32,90;Callisto;6935;Çli;Ali;Crater, craters;AA;32.9;59,00;304.1;59.4;58.6;304.8;303.3;Planetographic  +East  0 - 360;;"Norse; strongest of men.";Europe;Norse;Approved;1979;17;11/17/08;
