BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info;;
Europe;ADONIS LINEA;EULI6100S23740;Formation nommée;Ligne allongée sombre ou brillante;LI;ADONIS LINEA;Approuvé par l'UAI en 1979;Dieu;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Fils de Phoenix, neveu d'Europe.;237,40;237°24';-61,00;-61°0';1 560,00;???;Europa;56;Adonis Linea;Adonis Linea;Linea, lineae;LI;1 560,00;-61,00;237.4;-28.6;-82.3;228.8;211.6;Planetographic  +East  0 - 360;;"Greek; son of Phoenix, nephew of Europa.";Europe;Greek;Approved;1979;19;10/01/2006;;;
Europe;AGAVE LINEA;EULI1280N8690;Formation nommée;Ligne allongée sombre ou brillante;LI;AGAVE LINEA;Approuvé par l'UAI en 1997;Déesse;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Fille d'Harmonia & Cadmus.;86,90;86°54';12,80;12°48';1 440,00;???;Europa;83;Agave Linea;Agave Linea;Linea, lineae;LI;1 440,00;12.8;86.9;33.5;-10.1;103.2;73.1;Planetographic  +East  0 - 360;;Daughter of Harmonia and Cadmus.;Europe;Greek;Approved;1997;1;10/01/2006;;;
Europe;AGENOR LINEA;EULI4380S14650;Formation nommée;Ligne allongée sombre ou brillante;LI;AGENOR LINEA;Approuvé par l'UAI en 1979;Dieu;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Père d'Europe.;146,50;146°30';-43,80;-43°-47';1 496,00;???;Europa;84;Agenor Linea;Agenor Linea;Linea, lineae;LI;1 496,00;-43.8;146.5;-37.1;-41.8;181.4;111.6;Planetographic  +East  0 - 360;;"Greek; Europa's father.";Europe;Greek;Approved;1979;19;10/01/2006;;;
Europe;AINE;EUAA4300S18250;Formation nommée;Cratère;AA;AINE;Approuvé par l'UAI en 2000;Déesse;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Déesse celte de l'amour et de la fertilité.;182,50;182°30';-43,00;-43°0';5,00;5,00;Europa;6934;Ãine;Aine;Crater, craters;AA;5,00;-43,00;182.5;;;;;Planetographic  +East  0 - 360;;Celtic goddess of love and fertility.;Europe;Celtic;Approved;2000;160;11/17/08;;;
Europe;ALPHESIBOEA LINEA;EULI2510S18410;Formation nommée;Ligne allongée sombre ou brillante;LI;ALPHESIBOEA LINEA;Approuvé par l'UAI en 1985;Dieu;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Fils de Phoenix, neveu d'Europe.;184,10;184°5';-25,10;-25°-6';1 438,00;???;Europa;204;Alphesiboea Linea;Alphesiboea Linea;Linea, lineae;LI;1 438,00;-25.1;184.1;-17.3;-36,00;193.2;158.6;Planetographic  +East  0 - 360;;Son of Phoenix, nephew of Europa.;Europe;Greek;Approved;1985;19;10/01/2006;;;
Europe;AMAETHON;EUAA1382N18253;Formation nommée;Cratère;AA;AMAETHON;Approuvé par l'UAI en 2006;Dieu;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Dieu celte de l'agriculture.;182,53;182°31';13,82;13°49';1,70;1,70;Europa;6966;Amaethon;Amaethon;Crater, craters;AA;1.7;13.82;182.53;13.86;13.77;182.61;182.46;Planetographic  +East  0 - 360;;Celtic god of agriculture.;Europe;Celtic;Approved;2006;128;10/01/2006;;;
Europe;AMERGIN;EUAA1470S12940;Formation nommée;Cratère;AA;AMERGIN;Approuvé par l'UAI en 2000;Poète;Irlande;irlandais;Non applicable;Non applicable;Non applicable;Non applicable;Druide et poète légendaire irlandais.;129,40;129°24';-14,70;-14°-42';17,00;17;Europa;230;Amergin;Amergin;Crater, craters;AA;17,00;-14.7;129.4;-14.3;-15,00;129.8;129.1;Planetographic  +East  0 - 360;;Legendary Irish druid and poet.;Europe;Ireland;Approved;2000;152;10/01/2006;;;
Europe;ANDROGEOS LINEA;EULI1170N8070;Formation nommée;Ligne allongée sombre ou brillante;LI;ANDROGEOS LINEA;Approuvé par l'UAI en 2000;Héros;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Fils de Minos dans la mythologie grecque.;80,70;80°42';11,70;11°42';723,00;???;Europa;264;Androgeos Linea;Androgeos Linea;Linea, lineae;LI;723,00;11.7;80.7;18.6;3,00;92.3;71.8;Planetographic  +East  0 - 360;;Son of Minos in Greek mythology.;Europe;Greek;Approved;2000;27;10/01/2006;;;
Europe;ANGUS;EUAA1260S28490;Formation nommée;Cratère;AA;ANGUS;Approuvé par l'UAI en 2000;Dieu;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Dieu celte de l'amour;284,90;284°53';-12,60;-12°-36';4,50;4,5;Europa;274;Angus;Angus;Crater, craters;AA;4.5;-12.6;284.9;;;;;Planetographic  +East  0 - 360;;Beautiful Celtic god of love.;Europe;Celtic;Approved;2000;160;10/01/2006;;;
Europe;ANNWN REGIO;EURE2000N4000;Formation nommée;Grande région géographique;RE;ANNWN REGIO;Approuvé par l'UAI le 11 Mai 2007;Endroit;Pays de Galle;gallois;Non applicable;Non applicable;Non applicable;Non applicable;Nom gallois de l'Outre Monde où le vin pétillant est la boisson traditionnelle et où l'âge et la maladie sont inconnus.;40,00;40°0';20,00;20°0';2 300,00;???;Europa;14291;Annwn Regio;Annwn Regio;Regio, regiones;RE;2 300,00;20,00;40,00;55,00;-25,00;80,00;360,00;Planetographic  +East  0 - 360;;Traditional name of the Welsh Otherworld where sparkling wine is the normal beverage, and age and sickness are unknown.;Europe;Wales;Approved;May 11, 2007;160;05/11/2007;;;
Europe;ARGADNEL REGIO;EURE1460S15150;Formation nommée;Grande région géographique;RE;ARGADNEL REGIO;Approuvé par l'UAI en 2003;Endroit;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Dans la mythologie celte, une des îles du paradis terrestre que vit Bran pendant son voyage.;151,50;151°30';-14,60;-14°-36';1 900,00;???;Europa;361;Argadnel Regio;Argadnel Regio;Regio, regiones;RE;1 900,00;-14.6;151.5;5,00;-36,00;190,00;117,00;Planetographic  +East  0 - 360;;In Celtic mythology, one of the islands of Earthly paradise seen during Bran's voyage.;Europe;Celtic;Approved;2003;160;03/08/2007;;;
Europe;ARGIOPE LINEA;EULI170S16440;Formation nommée;Ligne allongée sombre ou brillante;LI;ARGIOPE LINEA;Approuvé par l'UAI en 1979;Déesse;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Un autre nom pour Telephassa.;164,40;164°24';-1,70;-1°-42';689,00;???;Europa;367;Argiope Linea;Argiope Linea;Linea, lineae;LI;689,00;-1.7;164.4;1,00;-8.6;176.5;155.2;Planetographic  +East  0 - 360;;"Greek; another name for Telephassa.";Europe;Greek;Approved;1979;19;10/01/2006;;;
Europe;ARRAN CHAOS;EUCH1340N27950;Formation nommée;Région distincte de terrains brisés;CH;ARRAN CHAOS;Approuvé par l'UAI le 23 août 2007;Endroit;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Ile où Manannain possédait un palais.;279,50;279°30';13,40;13°24';26,00;???;Europa;14303;Arran Chaos;Arran Chaos;Chaos, chaoses;CH;26,00;13.4;279.5;14,00;12.8;280,00;279,00;Planetographic  +East  0 - 360;;Island where ManannÃ¡n had a palace.;Europe;Celtic;Approved;Aug 23, 2007;128;11/17/08;;;
