BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Io;ABABINILI PATERA;IOPE1278N21783;Named formation;Complex crater;PE;ABABINILI PATERA;Approuved by IAU in 2003;God;Chickasaw people;Chickasaw;Not appliable;Not appliable;Not appliable;Not appliable;Chickasaw fire and sun god.;217.83;217°49';12.78;12°46';103.63;???;Io;3;Ababinili Patera;Ababinili Patera;Patera, paterae;PE;103.63;12.78;217.83;13.83;11.73;219.41;216.25;Planetographic  +East  0 - 360;;Chickasaw fire and sun god.;North America;Chickasaw;Approved;2003;83;10.01.2006;
Io;ACALA FLUCTUS;IOFL903N2540;Named formation;Flow terrain;FL;ACALA FLUCTUS;Approuved by IAU in 1997;God;Japan;Japanese;Not appliable;Not appliable;Not appliable;Not appliable;Japanese fire god.;25.4;25°23';9.03;9°1';415.32;???;Io;27;Acala Fluctus;Acala Fluctus;Fluctus, fluctÅ«s;FL;415.32;9.03;25.4;13.47;2.1;30.09;20.92;Planetographic  +East  0 - 360;;Japanese fire god.;Asia;Japan;Approved;1997;83;10.01.2006;
Io;AGNI PATERA;IOPE4078S2691;Named formation;Complex crater;PE;AGNI PATERA;Approuved by IAU in 1985;God;India;Indian;Not appliable;Not appliable;Not appliable;Not appliable;Hindu god of fire.;26.91;26°54';-40.78;-40°47';19.7;???;Io;88;Agni Patera;Agni Patera;Patera, paterae;PE;19.7;-40.78;26.91;-40.6;-40.96;27.32;26.5;Planetographic  +East  0 - 360;;Hindu god of fire.;Asia;India;Approved;1985;1;10.01.2006;
Io;AH PEKU PATERA;IOPE1036N25302;Named formation;Complex crater;PE;AH PEKU PATERA;Approuved by IAU in 2006;God;Mayan nation;Mayan;Not appliable;Not appliable;Not appliable;Not appliable;Mayan thunder god.;253.02;253°1';10.36;10°21';84.91;???;Io;96;Ah Peku Patera;Ah Peku Patera;Patera, paterae;PE;84.91;10.36;253.02;11.18;9.56;254.36;251.68;Planetographic  +East  0 - 360;;Mayan thunder god.;South and Central America;Mayan;Approved;2006;174;10.01.2006;
Io;AIDNE PATERA;IOPE176S18289;Named formation;Complex crater;PE;AIDNE PATERA;Approuved by IAU in 1997;God;Ireland;Irish;Not appliable;Not appliable;Not appliable;Not appliable;Irish creator of fire.;182.89;182°53';-1.76;-1°46';29.8;???;Io;106;Aidne Patera;Aidne Patera;Patera, paterae;PE;29.8;-1.76;182.89;-1.31;-2.18;183.28;182.5;Planetographic  +East  0 - 360;;Irish creator of fire.;Europe;Ireland;Approved;1997;83;10.01.2006;
Io;ALTJIRRA PATERA;IOPE3440S25118;Named formation;Complex crater;PE;ALTJIRRA PATERA;Approuved by IAU in 1997;God;Australia;Australia;Not appliable;Not appliable;Not appliable;Not appliable;Australian sky god whose voice is thunder.;251.18;251°10';-34.4;-34°24';60.27;???;Io;209;Altjirra Patera;Altjirra Patera;Patera, paterae;PE;60.27;-34.4;251.18;-33.48;-35.1;252.32;250.32;Planetographic  +East  0 - 360;;Australian sky god whose voice is thunder.;Oceania;Australia;Approved;1997;83;10.01.2006;
Io;AMATERASU PATERA;IOPE3821N5345;Named formation;Complex crater;PE;AMATERASU PATERA;Approuved by IAU in 1979;Goddess.;Japan;Japanese;Not appliable;Not appliable;Not appliable;Not appliable;Japanese sun goddess.;53.45;53°27';38.21;38°12';95.27;???;Io;216;Amaterasu Patera;Amaterasu Patera;Patera, paterae;PE;95.27;38.21;53.45;39.33;36.96;55.26;51.63;Planetographic  +East  0 - 360;;Japanese sun goddess.;Asia;Japan;Approved;1979;1;10.01.2006;
Io;AMIRANI;IOER2502N24482;Named formation;Active volcanic center;ER;AMIRANI;Approuved by IAU in 1979;God;Georgia;Georgian;Not appliable;Not appliable;Not appliable;Not appliable;Georgian god of fire.;244.82;244°49';25.02;25°1';415.23;???;Io;234;Amirani;Amirani;Eruptive center;ER;415.23;25.02;244.82;31.96;18.94;248.02;242.86;Planetographic  +East  0 - 360;;Georgian god of fire.;Asia;Georgia;Approved;1979;18;04.09.2009;
Io;ANGPETU PATERA;IOPE2118S35115;Named formation;Complex crater;PE;ANGPETU PATERA;Approuved by IAU in 1985;Deity;Dakota;Dakotan;Not appliable;Not appliable;Not appliable;Not appliable;Dakota name meaning the sun.;351.15;351°8';-21.18;-21°11';18.5;???;Io;270;Angpetu Patera;Angpetu Patera;Patera, paterae;PE;18.5;-21.18;351.15;-20.94;-21.42;351.44;350.86;Planetographic  +East  0 - 360;;Dakota name meaning the sun.;North America;Dakota;Approved;1985;27;10.01.2006;
Io;APIS THOLUS;IOTH1192S1230;Named formation;Small hill or domical mountain;TH;APIS THOLUS;Approuved by IAU in 1979;God;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Greek. name for Epaphus, son of Io and Zeus.;12.3;12°18';-11.92;-11°55';199.16;???;Io;321;Apis Tholus;Apis Tholus;Tholus, tholi;TH;199.16;-11.92;12.3;-9.51;-14.72;15.48;9.44;Planetographic  +East  0 - 360;;Greek. name for Epaphus, son of Io and Zeus.;Europe;Greek;Approved;1979;19;10.01.2006;
