BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated
Mars;ABALOS COLLES;MACO7698N28835;Named formation;Small hills;CO;ABALOS COLLES;Approved by IAU on 2003;Not appliable;Ancient Roma;Roman;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Named for classical albedo feature at 72N, 70W.;288,35;288 ° 21 ' ;76,98;76 ° 59 '  North;mc01;235.83;???;Mars;4;Abalos Colles;Abalos Colles;Collis, colles;CO;235.83;76.98;288.35;78.91;74.98;293.39;284.54;Planetographic  +East  0 - 360;mc01;Named for classical albedo feature at 72N, 70W.;Europe;Roman;Approved;2003;57;10/01/2006
Mars;ABALOS MENSA;MAMN8127N28440;Named formation;Plateau;MN;ABALOS MENSA;Approved by IAU on 2006;Not appliable;Ancient Roma;Roman;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo feature name.;284,40;284 ° 24 ' ;81,27;81 ° 16 '  North;mc01;129.18;???;Mars;14147;Abalos Mensa;Abalos Mensa;Mensa, mensae;MN;129.18;81.27;284.4;82.49;80.32;290.52;279.34;Planetographic  +East  0 - 360;mc01;Classical albedo feature name.;Europe;Roman;Approved;2006;57;7/24/08
Mars;ABALOS SCOPULI;MASC8083N28344;Named formation;Lobate or irregular scarp;SC;ABALOS SCOPULI;Approved by IAU on 2006;Not appliable;Ancient Roma;Roman;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo feature name.;283,44;283 ° 26 ' ;80,83;80 ° 50 '  North;mc01;109.16;???;Mars;14148;Abalos Scopuli;Abalos Scopuli;Scopulus, scopuli;SC;109.16;80.83;283.44;82.05;80.32;290.52;279.47;Planetographic  +East  0 - 360;mc01;Classical albedo feature name.;Europe;Roman;Approved;2006;57;7/24/08
Mars;ABALOS UNDAE;MAUN7865N27250;Named formation;Dunes;UN;ABALOS UNDAE;Approved by IAU on 1988;Not appliable;Ancient Roma;Roman;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo feature at 72N, 70W.;272,50;272 ° 30 ' ;78,65;78 ° 39 '  North;mc01;442.74;???;Mars;5;Abalos Undae;Abalos Undae;Unda, undae;UN;442.74;78.65;272.5;82.29;75.1;283.03;261.4;Planetographic  +East  0 - 360;mc01;Classical albedo feature at 72N, 70W.;Europe;Roman;Approved;1988;57;10/01/2006
Mars;ABAN;MAAA1609N11110;Named formation;Crater;AA;ABAN;Approved by IAU on 1988;Not appliable;Russia;Russian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Town in Russia.;111,10;111 ° 6 ' ;16,09;16 ° 5 '  North;mc14;4,28;4,28;Mars;6;Aban;Aban;Crater, craters;AA;4.28;16.09;111.1;16.12;16.05;111.14;111.06;Planetographic  +East  0 - 360;mc14;Town in Russia.;Europe;Russia;Approved;1988;36;11/17/10
Mars;ABUS VALLIS;MAVA556S21280;Named formation;Valley;VA;ABUS VALLIS;Approved by IAU on 1985;Not appliable;Great Britain;British;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical name for Humber River in England.;212,80;212 ° 48 ' ;-5,56;5 ° 34 '  South;mc16;60.99;???;Mars;25;Abus Vallis;Abus Vallis;Vallis, valles;VA;60.99;-5.56;212.8;-5.08;-6.06;212.84;212.72;Planetographic  +East  0 - 360;mc16;Classical name for Humber River in England.;Europe;Great Britain;Approved;1985;56;10/01/2006
Mars;ACHAR;MAAA4577N12316;Named formation;Crater;AA;ACHAR;Approved by IAU on 1979;Not appliable;Uruguay;Uruguayan;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Town in Uruguay.;123,16;123 ° 10 ' ;45,77;45 ° 46 '  North;mc07;5,36;5,36;Mars;31;Achar;Achar;Crater, craters;AA;5.36;45.77;123.16;45.82;45.72;123.23;123.1;Planetographic  +East  0 - 360;mc07;Town in Uruguay.;South et Central America;Uruguay;Approved;1979;36;11/17/10
Mars;ACHERON CATENA;MACA3780N25920;Named formation;Craters chain;CA;ACHERON CATENA;Approved by IAU on 1979;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Named for classical albedo feature at 35N, 140W.;259,20;259 ° 12 ' ;37,80;37 ° 48 '  North;mc03;421.77;???;Mars;34;Acheron Catena;Acheron Catena;Catena, catenae;CA;421.77;37.8;259.2;41.03;33.83;261.71;256.71;Planetographic  +East  0 - 360;mc03;Named for classical albedo feature at 35N, 140W.;Europe;Greek;Approved;1979;57;10/01/2006
Mars;ACHERON FOSSAE;MAFO3860N22498;Named formation;Long and narrow depression;FO;ACHERON FOSSAE;Approved by IAU on 1979;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;From classical albedo feature at 35N, 140W.;224,98;224 ° 59 ' ;38,60;38 ° 36 '  North;mc02;703.11;???;Mars;35;Acheron Fossae;Acheron Fossae;Fossa, fossae;FO;703.11;38.6;224.98;40.37;31.78;230.92;216.9;Planetographic  +East  0 - 360;mc02;From classical albedo feature at 35N, 140W.;Europe;Greek;Approved;1979;57;10/01/2006
Mars;ACIDALIA COLLES;MACO5067N33691;Named formation;Small hills;CO;ACIDALIA COLLES;Approved by IAU on 2000;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;From classical albedo feature name.;336,91;336 ° 55 ' ;50,67;50 ° 40 '  North;mc04;356.3;???;Mars;36;Acidalia Colles;Acidalia Colles;Collis, colles;CO;356.3;50.67;336.91;53.29;48.75;340.37;331.77;Planetographic  +East  0 - 360;mc04;From classical albedo feature name.;Europe;Greek;Approved;2000;71;10/01/2006
Mars;ACIDALIA MENSA;MAMN4703N33466;Named formation;Plateau surrounded with cliffs;MN;ACIDALIA MENSA;Approved by IAU on 2000;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;From classical albedo feature name.;334,66;334 ° 40 ' ;47,03;47 ° 2 '  North;mc04;226.86;???;Mars;37;Acidalia Mensa;Acidalia Mensa;Mensa, mensae;MN;226.86;47.03;334.66;49.02;45.37;337.03;331.81;Planetographic  +East  0 - 360;mc04;From classical albedo feature name.;Europe;Greek;Approved;2000;71;10/01/2006
Mars;ACIDALIA PLANITIA;MAPL5009N33926;Named formation;Low Plain;PL;ACIDALIA PLANITIA;Approved by IAU on 1973;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;From classical albedo feature at 44N, 21W.;339,26;339 ° 16 ' ;50,09;50 ° 5 '  North;mc04;3362.97;???;Mars;38;Acidalia Planitia;Acidalia Planitia;Planitia, planitiae;PL;3362.97;50.09;339.26;68.9;14.93;16.15;360,00;Planetographic  +East  0 - 360;mc04;From classical albedo feature at 44N, 21W.;Europe;Greek;Approved;1973;57;6/21/12
Mars;ADA;MAAA310S35678;Named formation;Crater;AA;ADA;Approved by IAU on Sep 14, 2006;Not appliable;U.S.A.;American;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Town in Oklahoma, USA.;356,78;356 ° 47 ' ;-3,10;3 ° 6 '  South;mc19;2,09;2,09;Mars;14182;Ada;Ada;Crater, craters;AA;2.09;-3.1;356.78;-3.08;-3.11;356.79;356.76;Planetographic  +East  0 - 360;mc19;Town in Oklahoma, USA.;North America;United States;Approved;Sep 14, 2006;74;11/17/10
Mars;ADAMAS LABYRINTHUS;MALB3602N10512;Named formation;Intersecting valleys and ridges;LB;ADAMAS LABYRINTHUS;Approved by IAU on 1982;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;"Classical albedo feature name; ""A River of Diamonds""; today's River Sarbarnarekha in India.";105,12;105 ° 7 ' ;36,02;36 ° 1 '  North;mc06;853,00;???;Mars;45;Adamas Labyrinthus;Adamas Labyrinthus;Labyrinthus, labyrinthi;LB;853,00;36.02;105.12;41.4;30.64;111.46;96.27;Planetographic  +East  0 - 360;mc06;"Classical albedo feature name; ""A River of Diamonds""; today's River Sarbarnarekha in India.";Europe;Greek;Approved;1982;57;10/01/2006
