BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;LENGHTMI;WIDEMI;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;PUN;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Mercure;ABEDIN;MEAA6176N34935;Formation nommée;Cratère;AA;Zainul ABEDIN;Approuvé par l'UAI en Jul 9, 2009;Peintre;Bangladesh;bengali(e );20;20 ème siècle;???;1914;???;1976;???;349.35;10 ° 39 '  O;61.76;61 ° 14 ' N;H-02;116.23;116.23;70;70;Mercury;14574;Abedin;Abedin;Crater, craters;AA;116.23;61.76;349.35;63.13;60.4;352.24;346.47;MAA6176N34935;Planetographic  +East  0 - 360;H-02;Zainul. Bangladeshi painter and printmaker (1914-1976).;Asia;Bangladesh;Approved;Jul 9, 2009;211;03.07.2011;
Mercure;ABU NUWAS;MEAA1776N33896;Formation nommée;Cratère;AA;ABU NUWAS;Approuvé par l'UAI en 1976;Poète;Syrie;syrien(ne);19;19 ème siècle;???;1756;???;1810;???;338.96;21 ° 2 '  O;17.76;17 ° 14 ' N;H-06;116.76;116.76;70;70;Mercury;21;Abu Nuwas;Abu Nuwas;Crater, craters;AA;116.76;17.76;338.96;19.13;16.39;340.4;337.52;MAA1776N33896;Planetographic  +East  0 - 360;H-06;Arab poet (c. 1756-1810).;Asia;Syria;Approved;1976;59;03.07.2011;
Mercure;ADVENTURE RUPES;MERU6553S29513;Formation nommée;Escarpement;RU;ADVENTURE RUPES;Approuvé par l'UAI en 1976;Navire;Royaume Uni;britannique;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Un des navires de James Cook lors de sa seconde expédition dans le Pacifique, 1772-75.;295.13;64 ° 52 '  O;-65.53;66 ° 32 ' S;H-15;340.63;??;206;??;Mercury;60;Adventure Rupes;Adventure Rupes;Rupes, rupÄ"s;RU;340.63;-65.53;295.13;-63.5;-65.56;303.52;287.22;MRU6553S29513;Planetographic  +East  0 - 360;H-15;English. one of Cook's ships on second voyage to the Pacific, 1772-75.;Europe;England;Approved;1976;59;03.07.2011;
Mercure;AFRICANUS HORTON;MEAA5102S31871;Formation nommée;Cratère;AA;James Beale aka AFRICANUS HORTON;Approuvé par l'UAI en 1976;Auteur;Sierra Leone;Sierra Leonais(e );19;19 ème siècle;???;1835;???;1883;???;318.71;41 ° 17 '  O;-51.02;52 ° 1 ' S;H-11;131.91;131.91;79;79;Mercury;76;Africanus Horton;Africanus Horton;Crater, craters;AA;131.91;-51.02;318.71;-49.47;-52.57;321.17;316.24;MAA5102S31871;Planetographic  +East  0 - 360;H-11;(James Beale). Sierra Leonean author, folklorist (1835-1883).;Africa;Sierra Leone;Approved;1976;59;03.07.2011;
Mercure;AHMAD BABA;MEAA5832N23155;Formation nommée;Cratère;AA;Abu-a AHMAD BABA;Approuvé par l'UAI en 1979;Ecrivain;Soudan;soudanais(e );17;17 ème siècle;???;1556;???;1627;???;231.55;128 ° 27 '  O;58.32;58 ° 41 ' N;H-03;126.27;126.27;76;76;Mercury;99;Ahmad Baba;Ahmad Baba;Crater, craters;AA;126.27;58.32;231.55;59.8;56.84;234.37;228.72;MAA5832N23155;Planetographic  +East  0 - 360;H-03;Abu-a.-Abbas Aj,Ad Obm Aj,Ad a.-Takruri Al-Massufi. Sudanese writer (1556-1627).;Africa;Sudan;Approved;1979;59;03.07.2011;
Mercure;AILEY;MEAA4547N17794;Formation nommée;Cratère;AA;Alvin AILEY;Approuvé par l'UAI en Apr 24, 2012;Danseur;U. S. A.;Américain(ne);20;20 ème siècle;???;1931;???;1989;???;177.94;177 ° 4 '  E;45.47;45 ° 32 ' N;H-04;20.58;20.58;12;12;Mercury;14953;Ailey;Ailey;Crater, craters;AA;20.58;45.47;177.94;45.66;45.27;178.29;177.6;MAA4547N17794;Planetographic  +East  0 - 360;H-04;Alvin. American dancer and choreographer (1931-1989).;North America;United States;Approved;Apr 24, 2012;75;4/24/12;
Mercure;AKSAKOV;MEAA3477N28130;Formation nommée;Cratère;AA;Sergey AKSAKOV;Approuvé par l'UAI en Apr 24, 2012;Auteur;Russie;russe;19;19 ème siècle;???;1791;???;1859;???;281.3;78 ° 42 '  O;34.77;34 ° 14 ' N;H-02;173.61;173.61;105;105;Mercury;14954;Aksakov;Aksakov;Crater, craters;AA;173.61;34.77;281.3;36.8;32.73;283.65;278.95;MAA3477N28130;Planetographic  +East  0 - 360;H-02;Sergey. Russian author (1791-1859).;Europe;Russia;Approved;Apr 24, 2012;75;4/24/12;
Mercure;AL AKHTAL;MEAA5973N25986;Formation nommée;Cratère;AA;AL AKHTAL;Approuvé par l'UAI en 1985;Poète;Arabie;arabe;-6;6 ème siècle av J.C.;???;640;???;710;???;259.86;100 ° 8 '  O;59.73;59 ° 16 ' N;H-03;94.29;94.29;57;57;Mercury;144;Al-Akhtal;Al Akhtal;Crater, craters;AA;94.29;59.73;259.86;60.84;58.62;262.06;257.66;MAA5973N25986;Planetographic  +East  0 - 360;H-03;Arab poet (c. 640-710).;Asia;Arabian;Approved;1985;59;03.07.2011;
Mercure;AL HAMADHANI;MEAA3902N26805;Formation nommée;Cratère;AA;AL HAMADHANI;Approuvé par l'UAI en 1979;Ecrivain;Arabie;arabe;11;11 ème siècle;???;???;???;1007;???;268.05;91 ° 57 '  O;39.02;39 ° 59 ' N;H-03;167.34;167.34;101;101;Mercury;147;Al-Hamadhani;Al Hamadhani;Crater, craters;AA;167.34;39.02;268.05;40.99;37.06;270.58;265.52;MAA3902N26805;Planetographic  +East  0 - 360;H-03;Arab writer (d. 1007).;Asia;Arabian;Approved;1979;80;03.07.2011;
Mercure;AL JAHIZ;MEAA142N33834;Formation nommée;Cratère;AA;AL JAHIZ;Approuvé par l'UAI en 1976;Auteur;Arabie;arabe;87;87 ème siècle;???;???;???;869;???;338.34;21 ° 40 '  O;1.42;1 ° 35 ' N;H-06;82.86;82.86;50;50;Mercury;148;Al-JÄhiz;Al Jahiz;Crater, craters;AA;82.86;1.42;338.34;2.4;0.45;339.31;337.37;MAA142N33834;Planetographic  +East  0 - 360;H-06;Arab author (d. 869).;Asia;Arabian;Approved;1976;80;03.07.2011;
