BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated
Vénus;ABE MANGO DORSA;VEDO4700N21200;Formation nommée;Crête;DO;ABE MANGO DORSA;Approuvé par l'UAI en 1997;Non applicable;Brésil;brésilien(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Fille du dieu Soleil chez le peuple tucano.;212;212 ° 0 ' ;47;47 ° 0 '  Nord;v15;800;;Venus;11;Abe Mango Dorsa;Abe Mango Dorsa;Dorsum, dorsa;DO;800;47;212;;;;;Planetographic  +East  0 - 360;v15;Tukano (Brazil) daughter of sun god.;South and Central America;Brazil;Approved;1997;107;10.01.2006
Vénus;ABEONA MONS;VEMO4480S27310;Formation nommée;Montagne;MO;ABEONA MONS;Approuvé par l'UAI en 1997;Non applicable;Rome antique;romain(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse romaine des voyageurs.;273.1;273 ° 54 ' ;-44.8;44 ° 48 '  Sud;v53;375;;Venus;15;Abeona Mons;Abeona Mons;Mons, montes;MO;375;-44.8;273.1;;;;;Planetographic  +East  0 - 360;v53;Roman goddess of travelers.;Europe;Roman;Approved;1997;83;10.01.2006
Vénus;ABIGAIL;VEAA5220S11120;Formation nommée;Cratère;AA;ABIGAIL;Approuvé par l'UAI en 1994;Non applicable;Peuple hébreu;hébreu(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom hébreu.;111.2;111 ° 48 ' ;-52.2;52 ° 12 '  Sud;v57;18.4;18.4;Venus;17;Abigail;Abigail;Crater, craters;AA;18.4;-52.2;111.2;;;;;Planetographic  +East  0 - 360;v57;First name from Hebrew.;Asia;Hebrew;Approved;1994;82;10.01.2006
Vénus;ABIKA;VEAA5250S10440;Formation nommée;Cratère;AA;ABIKA;Approuvé par l'UAI en 1994;Non applicable;Russie;russe;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom du peuple mari.;104.4;104 ° 36 ' ;-52.5;52 ° 30 '  Sud;v57;14.5;14.5;Venus;18;Abika;Abika;Crater, craters;AA;14.5;-52.5;104.4;;;;;Planetographic  +East  0 - 360;v57;Mari first name.;Europe;Russia;Approved;1994;107;12/30/08
Vénus;ABINGTON;VEAA4780S27770;Formation nommée;Cratère;AA;Frances ABINGTON;Approuvé par l'UAI en 1994;Actrice;Angleterre;anglais(e );18;18 ème siècle;;1737;;1815;;277.7;277 ° 18 ' ;-47.8;47 ° 48 '  Sud;v53;21.7;21.7;Venus;19;Abington;Abington;Crater, craters;AA;21.7;-47.8;277.7;;;;;Planetographic  +East  0 - 360;v53;Frances. English actress (1737-1815).;Europe;England;Approved;1994;99;10.01.2006
Vénus;ABRA;VEAA620N9740;Formation nommée;Cratère;AA;ABRA;Approuvé par l'UAI en 1997;Non applicable;Ghana;ghanéen(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom du peuple Ewe.;97.4;97 ° 36 ' ;6.2;6 ° 12 '  Nord;v23;7.2;7.2;Venus;20;Abra;Abra;Crater, craters;AA;7.2;6.2;97.4;;;;;Planetographic  +East  0 - 360;v23;Ewe first name.;Africa;Ghana;Approved;1997;107;10.01.2006
Vénus;ABUNDIA CORONA;VECR1850N12500;Formation nommée;Formation ovoïde;CR;ABUNDIA CORONA;Approuvé par l'UAI en 1994;Non applicable;Peuple viking;viking;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse nordique.;125;125 ° 0 ' ;18.5;18 ° 30 '  Nord;v24;250;;Venus;24;Abundia Corona;Abundia Corona;Corona, coronae;CR;250;18.5;125;;;;;Planetographic  +East  0 - 360;v24;Norse goddess of giving.;Europe;Norse;Approved;1994;27;10.01.2006
Vénus;ACHALL CORONA;VECR3120S25960;Formation nommée;Formation ovoïde;CR;ACHALL CORONA;Approuvé par l'UAI en 2006;Non applicable;Peuple celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse celtique de la Terre et de la nature.;259.6;259 ° 24 ' ;-31.2;31 ° 12 '  Sud;v52;265;;Venus;30;Achall Corona;Achall Corona;Corona, coronae;CR;265;-31.2;259.6;-29.9;-32.5;261.2;258.1;Planetographic  +East  0 - 360;v52;Celtic earth and nature goddess.;Europe;Celtic;Approved;2006;127;10.01.2006
Vénus;ACHEK DORSA;VEDO3720S23000;Formation nommée;Crête;DO;ACHEK DORSA;Approuvé par l'UAI en 1997;Non applicable;Soudan;soudanaise;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Femme du dieu de la pluie Deng chez les Dinka.;230;230 ° 0 ' ;-37.2;37 ° 12 '  Sud;v51;1000;;Venus;32;Achek Dorsa;Achek Dorsa;Dorsum, dorsa;DO;1000;-37.2;230;;;;;Planetographic  +East  0 - 360;v51;Dinka (Sudan) wife of rain god Deng.;Africa;Sudan;Approved;1997;107;10.01.2006
Vénus;ACREA CORONA;VECR2420N24370;Formation nommée;Formation ovoïde;CR;ACREA CORONA;Approuvé par l'UAI en 2003;Non applicable;Grèce;grec(que);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse grecque.;243.7;243 ° 18 ' ;24.2;24 ° 12 '  Nord;v28;200;;Venus;41;Acrea Corona;Acrea Corona;Corona, coronae;CR;200;24.2;243.7;25;23.2;245.4;242.3;Planetographic  +East  0 - 360;v28;Greek resplendent mother goddess.;Europe;Greek;Approved;2003;83;10.01.2006
Vénus;ADAIAH;VEAA4730S25340;Formation nommée;Cratère;AA;ADAIAH;Approuvé par l'UAI en 1994;Non applicable;Peuple hébreu;hébreu(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom hébreu.;253.4;253 ° 36 ' ;-47.3;47 ° 18 '  Sud;v52;18;18;Venus;43;Adaiah;Adaiah;Crater, craters;AA;18;-47.3;253.4;;;;;Planetographic  +East  0 - 360;v52;Hebrew first name.;Asia;Hebrew;Approved;1994;83;10.01.2006
Vénus;ADAMSON;VEAA1480S2960;Formation nommée;Cratère;AA;Joy ADAMSON;Approuvé par l'UAI en 1994;Auteur;Autriche;autrichien(ne);20;20 ème siècle;;1910;;1980;Expert des animaux.;29.6;29 ° 24 ' ;-14.8;14 ° 48 '  Sud;v32;27.2;27.2;Venus;48;Adamson;Adamson;Crater, craters;AA;27.2;-14.8;29.6;;;;;Planetographic  +East  0 - 360;v32;Joy. Austrian author, animal expert (1910-1980).;Europe;Austria;Approved;1994;99;10.01.2006
Vénus;ADDAMS;VEAA5620S9890;Formation nommée;Cratère;AA;Jane ADDAMS;Approuvé par l'UAI en 1994;Réformateur;U.S.A.;américain(e );19;19 ème siècle;;1860;;1935;Réformateur social.;98.9;98 ° 6 ' ;-56.2;56 ° 12 '  Sud;v57;87;87;Venus;50;Addams;Addams;Crater, craters;AA;87;-56.2;98.9;;;;;Planetographic  +East  0 - 360;v57;Jane. American social reformer (1860-1935).;North America;American;Approved;1994;99;10.01.2006
Vénus;ADITI DORSA;VEDO3000S18900;Formation nommée;Crête;DO;ADITI DORSA;Approuvé par l'UAI en 1997;Non applicable;Inde;hindou(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse indienne du ciel.;189;189 ° 0 ' ;-30;30 ° 0 '  Sud;v50;1200;;Venus;51;Aditi Dorsa;Aditi Dorsa;Dorsum, dorsa;DO;1200;-30;189;;;;;Planetographic  +East  0 - 360;v50;Indian sky goddess.;Asia;India;Approved;1997;1;10.01.2006
Vénus;ADIVAR;VEAA890N7620;Formation nommée;Cratère;AA;Halide ADIVAR;Approuvé par l'UAI en 1991;Auteur;Turquie;turc(que);20;20 ème siècle;;1883;;1964;Enseignant.;76.2;76 ° 48 ' ;8.9;8 ° 54 '  Nord;v22;30.3;30.3;Venus;52;Adivar;Adivar;Crater, craters;AA;30.3;8.9;76.2;;;;;Planetographic  +East  0 - 360;v22;Halide. Turkish educator, author (1883-1964).;Asia;Turkey;Approved;1991;99;10.01.2006
Vénus;ADRASTHEA TESSERAE;VETE3000N5500;Formation nommée;Terrain polygonal;TE;ADRASTHEA TESSERAE;Approuvé par l'UAI en 1997;Non applicable;Grèce;grec(que);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse grecque des lois.;55;55 ° 0 ' ;30;30 ° 0 '  Nord;v09;750;;Venus;57;Adrasthea Tesserae;Adrasthea Tesserae;Tessera, tesserae;TE;750;30;55;;;;;Planetographic  +East  0 - 360;v09;Greek goddess of law.;Europe;Greek;Approved;1997;107;10.01.2006
Vénus;ADZOBA;VEAA1280N11700;Formation nommée;Cratère;AA;ADZOBA;Approuvé par l'UAI en 1997;Non applicable;Ghana;ghanéen(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom du peuple Ewe.;117;117 ° 0 ' ;12.8;12 ° 48 '  Nord;v23;10;10;Venus;61;Adzoba;Adzoba;Crater, craters;AA;10;12.8;117;;;;;Planetographic  +East  0 - 360;v23;Ewe (Ghana) first name.;Africa;Ghana;Approved;1997;107;10.01.2006
Vénus;AEGINA FARRUM;VEFR3550N2090;Formation nommée;Structure en forme de crêpe;FR;AEGINA FARRUM;Approuvé par l'UAI en 1994;Non applicable;Grèce;grec(que);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Nymphe grecque des rivières.;20.9;20 ° 6 ' ;35.5;35 ° 30 '  Nord;v08;60;;Venus;62;Aegina Farrum;Aegina Farrum;Farrum, farra;FR;60;35.5;20.9;;;;;Planetographic  +East  0 - 360;v08;Greek river nymph.;Europe;Greek;Approved;1994;83;10.01.2006
Vénus;AERACURA CORONA;VECR1900S23850;Formation nommée;Formation ovoïde;CR;AERACURA CORONA;Approuvé par l'UAI en 1994;Non applicable;Peuple celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse celtique de la Terre.;238.5;238 ° 30 ' ;-19;19 ° 0 '  Sud;v39;250;;Venus;67;Aeracura Corona;Aeracura Corona;Corona, coronae;CR;250;-19;238.5;;;;;Planetographic  +East  0 - 360;v39;Celtic earth goddess.;Europe;Celtic;Approved;1994;111;10.01.2006
Vénus;AETHELFLAED;VEAA1820S19660;Formation nommée;Cratère;AA;AETHELFLAED;Approuvé par l'UAI en 1994;Leader;Angleterre;anglais(e );10;10 ème siècle;;884;;918;Ancien chef britannique.;196.6;196 ° 24 ' ;-18.2;18 ° 12 '  Sud;v38;20;20;Venus;70;Aethelflaed;Aethelflaed;Crater, craters;AA;20;-18.2;196.6;;;;;Planetographic  +East  0 - 360;v38;English leader of the Mercians (c. 884-918).;Europe;England;Approved;1994;99;10.01.2006
Vénus;AFIBA;VEAA4710S10270;Formation nommée;Cratère;AA;AFIBA;Approuvé par l'UAI en 1997;Non applicable;Ghana;ghanéen(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom du peuple Ewe.;102.7;102 ° 18 ' ;-47.1;47 ° 6 '  Sud;v47;9.5;9.5;Venus;73;Afiba;Afiba;Crater, craters;AA;9.5;-47.1;102.7;;;;;Planetographic  +East  0 - 360;v47;Ewe first name.;Africa;Ghana;Approved;1997;107;10.01.2006
Vénus;AFIRUWA;VEAA430N380;Formation nommée;Cratère;AA;AFIRUWA;Approuvé par l'UAI en 1997;Non applicable;Nigéria;nigérian(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom du peuple Hausa.;3.8;3 ° 12 ' ;4.3;4 ° 18 '  Nord;v20;5.2;5.2;Venus;74;Afiruwa;Afiruwa;Crater, craters;AA;5.2;4.3;3.8;;;;;Planetographic  +East  0 - 360;v20;Hausa first name.;Africa;Nigeria;Approved;1997;107;10.01.2006
Vénus;AFTENIA;VEAA4995N32400;Formation nommée;Cratère;AA;AFTENIA;Approuvé par l'UAI en 1997;Non applicable;Moldavie;moldave;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom moldave.;324;324 ° 0 ' ;49.95;49 ° 57 '  Nord;v18;7;7;Venus;77;Aftenia;Aftenia;Crater, craters;AA;7;49.95;324;;;;;Planetographic  +East  0 - 360;v18;Moldavian first name.;Europe;Moldova;Approved;1997;107;04.08.2010
Vénus;AFUA;VEAA1550N12400;Formation nommée;Cratère;AA;AFUA;Approuvé par l'UAI en 1997;Non applicable;Ghana;ghanéen(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom du peuple Akan.;124;124 ° 0 ' ;15.5;15 ° 30 '  Nord;v24;10;10;Venus;78;Afua;Afua;Crater, craters;AA;10;15.5;124;;;;;Planetographic  +East  0 - 360;v24;Akan (Ghana) first name.;Africa;Ghana;Approved;1997;107;10.01.2006
Vénus;AGLAONICE;VEAA2640S33990;Formation nommée;Cratère;AA;AGLAONICE;Approuvé par l'UAI en 1991;Astronome;Grèce;grec(que);??;?? ème siècle;;??;;??;;339.9;339 ° 6 ' ;-26.4;26 ° 24 '  Sud;v55;63.7;63.7;Venus;85;Aglaonice;Aglaonice;Crater, craters;AA;63.7;-26.4;339.9;;;;;Planetographic  +East  0 - 360;v55;Ancient Greek astronomer.;Europe;Greek;Approved;1991;99;10.01.2006
Vénus;AGNESI;VEAA3940S3770;Formation nommée;Cratère;AA;Maria AGNESI;Approuvé par l'UAI en 1991;Mathématicien;Italie;italien(ne);18;18 ème siècle;;1718;;1799;;37.7;37 ° 18 ' ;-39.4;39 ° 24 '  Sud;v45;42.4;42.4;Venus;87;Agnesi;Agnesi;Crater, craters;AA;42.4;-39.4;37.7;;;;;Planetographic  +East  0 - 360;v45;Maria. Italian mathematician (1718-1799).;Europe;Italy;Approved;1991;100;5/15/10
Vénus;AGOE;VEAA1310N430;Formation nommée;Cratère;AA;AGOE;Approuvé par l'UAI en 1997;Non applicable;Ghana;ghanéen(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom du peuple eve.;4.3;4 ° 42 ' ;13.1;13 ° 6 '  Nord;v20;6.3;6.3;Venus;89;Agoe;Agoe;Crater, craters;AA;6.3;13.1;4.3;;;;;Planetographic  +East  0 - 360;v20;Eve first name.;Africa;Ghana;Approved;1997;107;10.01.2006
Vénus;AGRAULOS CORONA;VECR2770S16580;Formation nommée;Formation ovoïde;CR;AGRAULOS CORONA;Approuvé par l'UAI en 1994;Non applicable;Grèce;grec(que);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse grecque de la fertilité.;165.8;165 ° 12 ' ;-27.7;27 ° 42 '  Sud;v49;170;;Venus;90;Agraulos Corona;Agraulos Corona;Corona, coronae;CR;170;-27.7;165.8;;;;;Planetographic  +East  0 - 360;v49;Greek fertility goddess.;Europe;Greek;Approved;1994;27;10.01.2006
