BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated
Venus;ABE MANGO DORSA;VEDO4700N21200;Named formation;Ridge;DO;ABE MANGO DORSA;Approved by IAU in 1997;Not appliable;Brazil;Brasilean;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Tukano (Brazil) daughter of sun god.;212;212 ° 0 ' ;47;47 ° 0 '  North;v15;800;;Venus;11;Abe Mango Dorsa;Abe Mango Dorsa;Dorsum, dorsa;DO;800;47;212;;;;;Planetographic  +East  0 - 360;v15;Tukano (Brazil) daughter of sun god.;South and Central America;Brazil;Approved;1997;107;10.01.2006
Venus;ABEONA MONS;VEMO4480S27310;Named formation;Mountain;MO;ABEONA MONS;Approved by IAU in 1997;Not appliable;Ancient Roma;Roman;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Roman goddess of travelers.;273.1;273 ° 54 ' ;-44.8;44 ° 48 '  South;v53;375;;Venus;15;Abeona Mons;Abeona Mons;Mons, montes;MO;375;-44.8;273.1;;;;;Planetographic  +East  0 - 360;v53;Roman goddess of travelers.;Europe;Roman;Approved;1997;83;10.01.2006
Venus;ABIGAIL;VEAA5220S11120;Named formation;Crater;AA;ABIGAIL;Approved by IAU in 1994;Not appliable;Hebrew people;Hebrew;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;First name from Hebrew.;111.2;111 ° 48 ' ;-52.2;52 ° 12 '  South;v57;18.4;18.4;Venus;17;Abigail;Abigail;Crater, craters;AA;18.4;-52.2;111.2;;;;;Planetographic  +East  0 - 360;v57;First name from Hebrew.;Asia;Hebrew;Approved;1994;82;10.01.2006
Venus;ABIKA;VEAA5250S10440;Named formation;Crater;AA;ABIKA;Approved by IAU in 1994;Not appliable;Russia;Russian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Mari first name.;104.4;104 ° 36 ' ;-52.5;52 ° 30 '  South;v57;14.5;14.5;Venus;18;Abika;Abika;Crater, craters;AA;14.5;-52.5;104.4;;;;;Planetographic  +East  0 - 360;v57;Mari first name.;Europe;Russia;Approved;1994;107;12/30/08
Venus;ABINGTON;VEAA4780S27770;Named formation;Crater;AA;Frances ABINGTON;Approved by IAU in 1994;Actress;England;English;18;18 th century;;1737;;1815;;277.7;277 ° 18 ' ;-47.8;47 ° 48 '  South;v53;21.7;21.7;Venus;19;Abington;Abington;Crater, craters;AA;21.7;-47.8;277.7;;;;;Planetographic  +East  0 - 360;v53;Frances. English actress (1737-1815).;Europe;England;Approved;1994;99;10.01.2006
Venus;ABRA;VEAA620N9740;Named formation;Crater;AA;ABRA;Approved by IAU in 1997;Not appliable;Ghana;Ghanaian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Ewe first name.;97.4;97 ° 36 ' ;6.2;6 ° 12 '  North;v23;7.2;7.2;Venus;20;Abra;Abra;Crater, craters;AA;7.2;6.2;97.4;;;;;Planetographic  +East  0 - 360;v23;Ewe first name.;Africa;Ghana;Approved;1997;107;10.01.2006
Venus;ABUNDIA CORONA;VECR1850N12500;Named formation;Ovoid shaped feature;CR;ABUNDIA CORONA;Approved by IAU in 1994;Not appliable;Norse people;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Norse goddess of giving.;125;125 ° 0 ' ;18.5;18 ° 30 '  North;v24;250;;Venus;24;Abundia Corona;Abundia Corona;Corona, coronae;CR;250;18.5;125;;;;;Planetographic  +East  0 - 360;v24;Norse goddess of giving.;Europe;Norse;Approved;1994;27;10.01.2006
Venus;ACHALL CORONA;VECR3120S25960;Named formation;Ovoid shaped feature;CR;ACHALL CORONA;Approved by IAU in 2006;Not appliable;Celtic people;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Celtic earth and nature goddess.;259.6;259 ° 24 ' ;-31.2;31 ° 12 '  South;v52;265;;Venus;30;Achall Corona;Achall Corona;Corona, coronae;CR;265;-31.2;259.6;-29.9;-32.5;261.2;258.1;Planetographic  +East  0 - 360;v52;Celtic earth and nature goddess.;Europe;Celtic;Approved;2006;127;10.01.2006
Venus;ACHEK DORSA;VEDO3720S23000;Named formation;Ridge;DO;ACHEK DORSA;Approved by IAU in 1997;Not appliable;Sudan;Sudanese;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Dinka (Sudan) wife of rain god Deng.;230;230 ° 0 ' ;-37.2;37 ° 12 '  South;v51;1000;;Venus;32;Achek Dorsa;Achek Dorsa;Dorsum, dorsa;DO;1000;-37.2;230;;;;;Planetographic  +East  0 - 360;v51;Dinka (Sudan) wife of rain god Deng.;Africa;Sudan;Approved;1997;107;10.01.2006
Venus;ACREA CORONA;VECR2420N24370;Named formation;Ovoid shaped feature;CR;ACREA CORONA;Approved by IAU in 2003;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Greek resplendent mother goddess.;243.7;243 ° 18 ' ;24.2;24 ° 12 '  North;v28;200;;Venus;41;Acrea Corona;Acrea Corona;Corona, coronae;CR;200;24.2;243.7;25;23.2;245.4;242.3;Planetographic  +East  0 - 360;v28;Greek resplendent mother goddess.;Europe;Greek;Approved;2003;83;10.01.2006
Venus;ADAIAH;VEAA4730S25340;Named formation;Crater;AA;ADAIAH;Approved by IAU in 1994;Not appliable;Hebrew people;Hebrew;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Hebrew first name.;253.4;253 ° 36 ' ;-47.3;47 ° 18 '  South;v52;18;18;Venus;43;Adaiah;Adaiah;Crater, craters;AA;18;-47.3;253.4;;;;;Planetographic  +East  0 - 360;v52;Hebrew first name.;Asia;Hebrew;Approved;1994;83;10.01.2006
Venus;ADAMSON;VEAA1480S2960;Named formation;Crater;AA;Joy ADAMSON;Approved by IAU in 1994;Author;Austria;Austrian;20;20 th century;;1910;;1980;Animal expert.;29.6;29 ° 24 ' ;-14.8;14 ° 48 '  South;v32;27.2;27.2;Venus;48;Adamson;Adamson;Crater, craters;AA;27.2;-14.8;29.6;;;;;Planetographic  +East  0 - 360;v32;Joy. Austrian author, animal expert (1910-1980).;Europe;Austria;Approved;1994;99;10.01.2006
Venus;ADDAMS;VEAA5620S9890;Named formation;Crater;AA;Jane ADDAMS;Approved by IAU in 1994;Reformer;U.S.A.;American;19;19 th century;;1860;;1935;Social reformer.;98.9;98 ° 6 ' ;-56.2;56 ° 12 '  South;v57;87;87;Venus;50;Addams;Addams;Crater, craters;AA;87;-56.2;98.9;;;;;Planetographic  +East  0 - 360;v57;Jane. American social reformer (1860-1935).;North America;American;Approved;1994;99;10.01.2006
Venus;ADITI DORSA;VEDO3000S18900;Named formation;Ridge;DO;ADITI DORSA;Approved by IAU in 1997;Not appliable;India;Hindu;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Indian sky goddess.;189;189 ° 0 ' ;-30;30 ° 0 '  South;v50;1200;;Venus;51;Aditi Dorsa;Aditi Dorsa;Dorsum, dorsa;DO;1200;-30;189;;;;;Planetographic  +East  0 - 360;v50;Indian sky goddess.;Asia;India;Approved;1997;1;10.01.2006
Venus;ADIVAR;VEAA890N7620;Named formation;Crater;AA;Halide ADIVAR;Approved by IAU in 1991;Author;Turkey;Turkish;20;20 th century;;1883;;1964;Educator.;76.2;76 ° 48 ' ;8.9;8 ° 54 '  North;v22;30.3;30.3;Venus;52;Adivar;Adivar;Crater, craters;AA;30.3;8.9;76.2;;;;;Planetographic  +East  0 - 360;v22;Halide. Turkish educator, author (1883-1964).;Asia;Turkey;Approved;1991;99;10.01.2006
