BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Europa;ADONIS LINEA;EULI6100S23740;Named formation;Dark or bright elongate marking;LI;ADONIS LINEA;Approuved by IAU in 1979;God;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Greek. son of Phoenix, nephew of Europa.;237.4;237°24';-61;-61°0';1560;???;Europa;56;Adonis Linea;Adonis Linea;Linea, lineae;LI;1560;-61;237.4;-28.6;-82.3;228.8;211.6;Planetographic  +East  0 - 360;;Greek. son of Phoenix, nephew of Europa.;Europe;Greek;Approved;1979;19;10.01.2006;
Europa;AGAVE LINEA;EULI1280N8690;Named formation;Dark or bright elongate marking;LI;AGAVE LINEA;Approuved by IAU in 1997;Goddess;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Daughter of Harmonia and Cadmus.;86.9;86°54';12.8;12°48';1440;???;Europa;83;Agave Linea;Agave Linea;Linea, lineae;LI;1440;12.8;86.9;33.5;-10.1;103.2;73.1;Planetographic  +East  0 - 360;;Daughter of Harmonia and Cadmus.;Europe;Greek;Approved;1997;1;10.01.2006;
Europa;AGENOR LINEA;EULI4380S14650;Named formation;Dark or bright elongate marking;LI;AGENOR LINEA;Approuved by IAU in 1979;God;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Greek. Europa's father.;146.5;146°30';-43.8;-43°-47';1496;???;Europa;84;Agenor Linea;Agenor Linea;Linea, lineae;LI;1496;-43.8;146.5;-37.1;-41.8;181.4;111.6;Planetographic  +East  0 - 360;;Greek. Europa's father.;Europe;Greek;Approved;1979;19;10.01.2006;
Europa;AINE;EUAA4300S18250;Named formation;Crater;AA;AINE;Approuved by IAU in 2000;Goddess;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Celtic goddess of love and fertility.;182.5;182°30';-43;-43°0';5;5;Europa;6934;Ãine;Aine;Crater, craters;AA;5;-43;182.5;;;;;Planetographic  +East  0 - 360;;Celtic goddess of love and fertility.;Europe;Celtic;Approved;2000;160;11/17/08;
Europa;ALPHESIBOEA LINEA;EULI2510S18410;Named formation;Dark or bright elongate marking;LI;ALPHESIBOEA LINEA;Approuved by IAU in 1985;God;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Son of Phoenix, nephew of Europa.;184.1;184°5';-25.1;-25°-6';1438;???;Europa;204;Alphesiboea Linea;Alphesiboea Linea;Linea, lineae;LI;1438;-25.1;184.1;-17.3;-36;193.2;158.6;Planetographic  +East  0 - 360;;Son of Phoenix, nephew of Europa.;Europe;Greek;Approved;1985;19;10.01.2006;
Europa;AMAETHON;EUAA1382N18253;Named formation;Crater;AA;AMAETHON;Approuved by IAU in 2006;God;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Celtic god of agriculture.;182.53;182°31';13.82;13°49';1.7;1.7;Europa;6966;Amaethon;Amaethon;Crater, craters;AA;1.7;13.82;182.53;13.86;13.77;182.61;182.46;Planetographic  +East  0 - 360;;Celtic god of agriculture.;Europe;Celtic;Approved;2006;128;10.01.2006;
Europa;AMERGIN;EUAA1470S12940;Named formation;Crater;AA;AMERGIN;Approuved by IAU in 2000;Poet;Ireland;Irish;Not appliable;Not appliable;Not appliable;Not appliable;Legendary Irish druid and poet.;129.4;129°24';-14.7;-14°-42';17;17;Europa;230;Amergin;Amergin;Crater, craters;AA;17;-14.7;129.4;-14.3;-15;129.8;129.1;Planetographic  +East  0 - 360;;Legendary Irish druid and poet.;Europe;Ireland;Approved;2000;152;10.01.2006;
Europa;ANDROGEOS LINEA;EULI1170N8070;Named formation;Dark or bright elongate marking;LI;ANDROGEOS LINEA;Approuved by IAU in 2000;Hero;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Son of Minos in Greek mythology.;80.7;80°42';11.7;11°42';723;???;Europa;264;Androgeos Linea;Androgeos Linea;Linea, lineae;LI;723;11.7;80.7;18.6;3;92.3;71.8;Planetographic  +East  0 - 360;;Son of Minos in Greek mythology.;Europe;Greek;Approved;2000;27;10.01.2006;
Europa;ANGUS;EUAA1260S28490;Named formation;Crater;AA;ANGUS;Approuved by IAU in 2000;God;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Beautiful Celtic god of love.;284.9;284°53';-12.6;-12°-36';4.5;4.5;Europa;274;Angus;Angus;Crater, craters;AA;4.5;-12.6;284.9;;;;;Planetographic  +East  0 - 360;;Beautiful Celtic god of love.;Europe;Celtic;Approved;2000;160;10.01.2006;
Europa;ANNWN REGIO;EURE2000N4000;Named formation;Broad geographic region;RE;ANNWN REGIO;Approuved by IAU in May 11, 2007;Place;Wales;Welsh;Not appliable;Not appliable;Not appliable;Not appliable;Traditional name of the Welsh Otherworld where sparkling wine is the normal beverage, and age and sickness are unknown.;40;40°0';20;20°0';2300;???;Europa;14291;Annwn Regio;Annwn Regio;Regio, regiones;RE;2300;20;40;55;-25;80;360;Planetographic  +East  0 - 360;;Traditional name of the Welsh Otherworld where sparkling wine is the normal beverage, and age and sickness are unknown.;Europe;Wales;Approved;May 11, 2007;160;05.11.2007;
