BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Ganymede;[DENDERA FACULA];GAFA0N10300;Named formation;Bright spot;FA;DENDERA FACULA;Approuved by IAU in 1985;Non appliable;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Town where Hathor was chief goddess. Name changed to Dendera.;103,00;103°0';0,00;0°0' North;114,00;???;Ganymede;6815;[Dendera Facula];Dendera Facula;Facula, faculae;FA;114,00;0,00;103,00;0,00;0,00;104.3;101.6;Planetographic  +East  0 - 360;;Town where Hathor was chief goddess. Name changed to Dendera.;Africa;Egypt;Dropped;1985;1;03/01/2007;
Ganymede;[KERET];GAAA1600N32480;Named formation;Crater;AA;KERET;Approuved by IAU in 1979;Hero;Phoenicia;Phoenician;Not appliable;Not appliable;Not appliable;Not appliable;Phoenician hero. Name dropped because feature not found on imagery.;324,80;324°48';16,00;16°0' North;36,00;36,00;Ganymede;6855;[Keret];Keret;Crater, craters;AA;36,00;16,00;324.8;16,00;16,00;325.2;324.4;Planetographic  +East  0 - 360;;Phoenician hero. Name dropped because feature not found on imagery.;Asia;Phoenician;Dropped;1979;1;03/01/2007;
Ganymede;[KHNUM];GAAA1780S27480;Named formation;Crater;AA;KHNUM;Approuved by IAU in ???;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian ram-headed creation god. ;274,80;274°48';-17,80;17°48' South;45,00;45,00;Ganymede;6856;[Khnum];Khnum;Crater, craters;AA;45,00;-17.8;274.8;;;;;Planetographic  +East  0 - 360;;Egyptian ram-headed creation god. ;Africa;Egypt;Not Approved;???;1;3/27/07;Provisional name Khnum changed to Nah-Hunte because of duplication with Khnum Catena.
Ganymede;[PUNT FACULA];GAFA2610S11780;Named formation;Bright spot;FA;PUNT FACULA;Approuved by IAU in 1985;Non appliable;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Land east of Egypt where Bes originated. Changed to Punt (crater).;117,80;117°48';-26,10;26°6' South;228,00;???;Ganymede;6888;[Punt Facula];Punt Facula;Facula, faculae;FA;228,00;-26.1;117.8;-25.8;-26.4;120.6;115,00;Planetographic  +East  0 - 360;;Land east of Egypt where Bes originated. Changed to Punt (crater).;Africa;Egypt;Dropped;1985;1;03/01/2007;
Ganymede;[SAIS FACULA];GAFA3790N34580;Named formation;Bright spot;FA;SAIS FACULA;Approuved by IAU in 1988;Non appliable;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Capital of Egypt in mid-7th century B.C.;345,80;345°48';37,90;37°54' North;137,00;???;Ganymede;6900;[Sais Facula];Sais Facula;Facula, faculae;FA;137,00;37.9;345.8;38.1;37.8;347.4;344.1;Planetographic  +East  0 - 360;;Capital of Egypt in mid-7th century B.C.;Africa;Egypt;Dropped;1988;1;03/01/2007;
Ganymede;[WADJET];GAAA5380S9110;Named formation;Crater;AA;WADJET;Approuved by IAU in 2000;Goddess;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian cobra goddess. Same crater as Nut.;91,10;91°6';-53,80;53°48' South;100,00;100,00;Ganymede;6928;[Wadjet];Wadjet;Crater, craters;AA;100,00;-53.8;91.1;;;;;Planetographic  +East  0 - 360;;Egyptian cobra goddess. Same crater as Nut.;Africa;Egypt;Dropped;2000;127;04/09/2009;
Ganymede;ABYDOS FACULA;GAFA3340N20660;Named formation;Bright spot;FA;ABYDOS FACULA;Approuved by IAU in 1985;Non appliable;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian town where Osiris was worshipped.;206,60;206°36';33,40;33°24' North;180,00;???;Ganymede;26;Abydos Facula;Abydos Facula;Facula, faculae;FA;180,00;33.4;206.6;34.8;31.6;208.6;204.2;Planetographic  +East  0 - 360;;Egyptian town where Osiris was worshipped.;Africa;Egypt;Approved;1985;1;10/01/2006;
Ganymede;ACHELOUS;GAAA6180N34830;Named formation;Crater;AA;ACHELOUS;Approuved by IAU in 1979;God;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Greek river god / father of Callirrhoe, Ganymede's mother.;348,30;348°18';61,80;61°48' North;40,00;40,00;Ganymede;33;Achelous;Achelous;Crater, craters;AA;40,00;61.8;348.3;62.3;61.4;349.1;347.4;Planetographic  +East  0 - 360;;"Greek river god; father of Callirrhoe, Ganymede's mother.";Europe;Greek;Approved;1979;19;10/01/2006;
Ganymede;ADAD;GAAA5750N190;Named formation;Crater;AA;ADAD;Approuved by IAU in 1979;God;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Assyro-Babylonian god of thunder.;1,90;1°54';57,50;57°30' North;39,00;39,00;Ganymede;42;Adad;Adad;Crater, craters;AA;39,00;57.5;1.9;57.8;57,00;2.3;1.4;Planetographic  +East  0 - 360;;Assyro-Babylonian god of thunder.;Asia;Assyro-Babylonian;Approved;1979;1;10/01/2006;
Ganymede;ADAPA;GAAA7310N32870;Named formation;Crater;AA;ADAPA;Approuved by IAU in 1979;God;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Assyro-Babylonian / lost immortality when, at Ea's advice, he refused food of life.;328,70;328°42';73,10;73°6' North;56,00;56,00;Ganymede;49;Adapa;Adapa;Crater, craters;AA;56,00;73.1;328.7;73.7;72.5;330.7;326.6;Planetographic  +East  0 - 360;;"Assyro-Babylonian; lost immortality when, at Ea's advice, he refused food of life.";Asia;Assyro-Babylonian;Approved;1979;1;10/01/2006;
Ganymede;AGREUS;GAAA1590N12730;Named formation;Crater;AA;AGREUS;Approuved by IAU in 1985;God;Phoenicia;Phoenician;Not appliable;Not appliable;Not appliable;Not appliable;Hunter god in Tyre.;127,30;127°18';15,90;15°54' North;63,00;63,00;Ganymede;91;Agreus;Agreus;Crater, craters;AA;63,00;15.9;127.3;16.5;15.1;127.9;126.5;Planetographic  +East  0 - 360;;Hunter god in Tyre.;Asia;Phoenician;Approved;1985;27;10/01/2006;
Ganymede;AGROTES;GAAA6090N16750;Named formation;Crater;AA;AGROTES;Approuved by IAU in 1985;God;Phoenicia;Phoenician;Not appliable;Not appliable;Not appliable;Not appliable;Tyre / greatest god of Gebal / farmer god.;167,50;167°30';60,90;60°54' North;74,00;74,00;Ganymede;94;Agrotes;Agrotes;Crater, craters;AA;74,00;60.9;167.5;61.6;60.2;169.2;165.4;Planetographic  +East  0 - 360;;"Tyre; greatest god of Gebal; farmer god.";Asia;Phoenician;Approved;1985;27;10/01/2006;
Ganymede;AKHMIN FACULA;GAFA2770N17050;Named formation;Bright spot;FA;AKHMIN FACULA;Approuved by IAU in 1997;Non appliable;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian town where Min was worshipped.;170,50;170°30';27,70;27°42' North;245,00;???;Ganymede;129;Akhmin Facula;Akhmin Facula;Facula, faculae;FA;245,00;27.7;170.5;30.3;25.6;173.3;167.4;Planetographic  +East  0 - 360;;Egyptian town where Min was worshipped.;Africa;Egypt;Approved;1997;1;10/01/2006;
Ganymede;AKITU SULCUS;GASU3890N16570;Named formation;Subparallel furrows and ridges;SU;AKITU SULCUS;Approuved by IAU in 1997;Non appliable;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Where Marduk's statue was carried each year.;165,70;165°42';38,90;38°54' North;365,00;???;Ganymede;134;Akitu Sulcus;Akitu Sulcus;Sulcus, sulci;SU;365,00;38.9;165.7;39.2;39,00;170.4;160.1;Planetographic  +East  0 - 360;;Where Marduk's statue was carried each year.;Asia;Assyro-Babylonian;Approved;1997;1;10/01/2006;
Ganymede;ALEYIN;GAAA1510N22590;Named formation;Crater;AA;ALEYIN;Approuved by IAU in 1997;God;Phoenicia;Phoenician;Not appliable;Not appliable;Not appliable;Not appliable;Son of Ba'al, spirit of springs.;225,90;225°54';15,10;15°6' North;12.4;12.4;Ganymede;179;Aleyin;Aleyin;Crater, craters;AA;12.4;15.1;225.9;15.3;15,00;226.1;225.8;Planetographic  +East  0 - 360;;Son of Ba'al, spirit of springs.;Asia;Phoenician;Approved;1997;1;10/01/2006;
Ganymede;AMMURA;GAAA3170N1760;Named formation;Crater;AA;AMMURA;Approuved by IAU in 1979;God;Phoenicia;Phoenician;Not appliable;Not appliable;Not appliable;Not appliable;Phoenician / god of the west.;17,60;17°36';31,70;31°42' North;61.5;61.5;Ganymede;237;Ammura;Ammura;Crater, craters;AA;61.5;31.7;17.6;32.4;31.1;18.4;16.9;Planetographic  +East  0 - 360;;"Phoenician; god of the west.";Asia;Phoenician;Approved;1979;1;10/01/2006;
Ganymede;AMON;GAAA3370N13930;Named formation;Crater;AA;AMON;Approuved by IAU in 1985;God;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Theban king of gods.;139,30;139°18';33,70;33°42' North;101.8;101.8;Ganymede;238;Amon;Amon;Crater, craters;AA;101.8;33.7;139.3;34.8;32.5;140.6;138,00;Planetographic  +East  0 - 360;;Theban king of gods.;Asia;Assyro-Babylonian;Approved;1985;1;10/01/2006;
Ganymede;AMSET;GAAA1440S18120;Named formation;Crater;AA;AMSET;Approuved by IAU in 1997;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;One of the four gods of the dead, son of Horus.;181,20;181°12';-14,40;14°24' South;10.9;10.9;Ganymede;245;Amset;Amset;Crater, craters;AA;10.9;-14.4;181.2;-14.3;-14.6;181.4;181.1;Planetographic  +East  0 - 360;;One of the four gods of the dead, son of Horus.;Africa;Egypt;Approved;1997;83;10/01/2006;
Ganymede;ANAT;GAAA410S23210;Named formation;Crater;AA;ANAT;Approuved by IAU in 1985;Goddess;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Assyro-Babylonian goddess of dew.;232,10;232°6';-4,10;4°6' South;2.9;2.9;Ganymede;251;Anat;Anat;Crater, craters;AA;2.9;-4.1;232.1;;;;;Planetographic  +East  0 - 360;;Assyro-Babylonian goddess of dew.;Asia;Assyro-Babylonian;Approved;1985;1;01/04/2008;Defines 128 degrees longitude on Ganymede.
Ganymede;ANDJETI;GAAA5280S19890;Named formation;Crater;AA;ANDJETI;Approuved by IAU in 1985;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian / first god of Busirus.;198,90;198°54';-52,80;52°48' South;52.5;52.5;Ganymede;262;Andjeti;Andjeti;Crater, craters;AA;52.5;-52.8;198.9;-52.2;-53.3;199.8;198,00;Planetographic  +East  0 - 360;;"Egyptian; first god of Busirus.";Africa;Egypt;Approved;1985;1;10/01/2006;
Ganymede;ANHUR;GAAA3260N16770;Named formation;Crater;AA;ANHUR;Approuved by IAU in 1997;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian warrior god.;167,70;167°42';32,60;32°36' North;25,00;25,00;Ganymede;276;Anhur;Anhur;Crater, craters;AA;25,00;32.6;167.7;32.9;32.4;168,00;167.4;Planetographic  +East  0 - 360;;Egyptian warrior god.;Africa;Egypt;Approved;1997;1;10/01/2006;
Ganymede;ANSHAR SULCUS;GASU1800N16210;Named formation;Subparallel furrows and ridges;SU;ANSHAR SULCUS;Approuved by IAU in 1979;Non appliable;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Assyro-Babylonian / celestial-world home of Lakhmu and Lakhamu.;162,10;162°6';18,00;18°0' North;1 372,00;???;Ganymede;290;Anshar Sulcus;Anshar Sulcus;Sulcus, sulci;SU;1 372,00;18,00;162.1;28.6;9.1;174.3;148.9;Planetographic  +East  0 - 360;;"Assyro-Babylonian; celestial-world home of Lakhmu and Lakhamu.";Asia;Assyro-Babylonian;Approved;1979;1;10/01/2006;
Ganymede;ANTUM;GAAA510N14110;Named formation;Crater;AA;ANTUM;Approuved by IAU in 1985;God;Babylon;Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Babylonian / wife of Anu.;141,10;141°6';5,10;5°6' North;14.7;14.7;Ganymede;301;Antum;Antum;Crater, craters;AA;14.7;5.1;141.1;5.3;4.9;141.2;140.9;Planetographic  +East  0 - 360;;"Babylonian; wife of Anu.";Asia;Babylon;Approved;1985;27;10/01/2006;
Ganymede;ANU;GAAA6520N1570;Named formation;Crater;AA;ANU;Approuved by IAU in 1979;God;Sumer;Sumerian;Not appliable;Not appliable;Not appliable;Not appliable;Sumerian-Akkadian god of power, of heavens.;15,70;15°42';65,20;65°12' North;55,00;55,00;Ganymede;302;Anu;Anu;Crater, craters;AA;55,00;65.2;15.7;65.8;64.7;17.1;14.3;Planetographic  +East  0 - 360;;Sumerian-Akkadian god of power, of heavens.;Asia;Sumerian;Approved;1979;1;10/01/2006;
Ganymede;ANUBIS;GAAA8420S23110;Named formation;Crater;AA;ANUBIS;Approuved by IAU in 1988;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian jackal-headed god who opened the underworld to the dead.;231,10;231°6';-84,20;84°12' South;113.8;113.8;Ganymede;303;Anubis;Anubis;Crater, craters;AA;113.8;-84.2;231.1;-83.2;-85.5;243.8;219.1;Planetographic  +East  0 - 360;;Egyptian jackal-headed god who opened the underworld to the dead.;Africa;Egypt;Approved;1988;1;10/01/2006;
Ganymede;ANZU;GAAA6350N29750;Named formation;Crater;AA;ANZU;Approuved by IAU in 2000;God;Sumer;Sumerian;Not appliable;Not appliable;Not appliable;Not appliable;Gigantic lion-headed bird-like figure, the Sumerian Thunderbird.;297,50;297°30';63,50;63°30' North;205,00;205,00;Ganymede;309;Anzu;Anzu;Crater, craters;AA;205,00;63.5;297.5;65.9;61.2;302.3;292.7;Planetographic  +East  0 - 360;;Gigantic lion-headed bird-like figure, the Sumerian Thunderbird.;Asia;Sumerian;Approved;2000;157;10/01/2006;
Ganymede;APOPHIS;GAAA800S8400;Named formation;Crater;AA;APOPHIS;Approuved by IAU in 2000;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian gigantic serpent symbolizing chaos or nonexistence.;84,00;84°0';-8,00;8°0' South;65,00;65,00;Ganymede;329;Apophis;Apophis;Crater, craters;AA;65,00;-8,00;84,00;-7.3;-8.7;84.7;83.3;Planetographic  +East  0 - 360;;Egyptian gigantic serpent symbolizing chaos or nonexistence.;Africa;Egypt;Approved;2000;157;10/01/2006;
