BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Ganymede;[DENDERA FACULA];GAFA0N10300;Formation nommée;Tache brillante;FA;DENDERA FACULA;Approuvé par l'UAI en 1985;Non applicable;Egypte;égyptien;Non applicable;Non applicable;Non applicable;Non applicable;Ville où Hathor était déesse-mère. Nom changé par l'UAI en Dendera.;103;103 ° 0 ' ;0;0 ° 0 '  Nord;114;???;Ganymede;6815;[Dendera Facula];Dendera Facula;Facula, faculae;FA;114;0;103;0;0;104.3;101.6;Planetographic  +East  0 - 360;;Town where Hathor was chief goddess. Name changed to Dendera.;Africa;Egypt;Dropped;1985;1;03.01.2007;
Ganymede;[KERET];GAAA1600N32480;Formation nommée;Cratère;AA;KERET;Approuvé par l'UAI en 1979;Héros;Phénicie;phénicien;Non applicable;Non applicable;Non applicable;Non applicable;Nom supprimé car la formation n'a pas été retrouvée sur les images récentes.;324.8;324 ° 48 ' ;16;16 ° 0 '  Nord;36;36;Ganymede;6855;[Keret];Keret;Crater, craters;AA;36;16;324.8;16;16;325.2;324.4;Planetographic  +East  0 - 360;;Phoenician hero. Name dropped because feature not found on imagery.;Asia;Phoenician;Dropped;1979;1;03.01.2007;
Ganymede;[KHNUM];GAAA1780S27480;Formation nommée;Cratère;AA;KHNUM;Approuvé par l'UAI en ???;Dieu;Egypte;égyptien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu de la création à tête de bélier.;274.8;274 ° 48 ' ;-17.8;17 ° 48 '  Sud;45;45;Ganymede;6856;[Khnum];Khnum;Crater, craters;AA;45;-17.8;274.8;;;;;Planetographic  +East  0 - 360;;Egyptian ram-headed creation god. ;Africa;Egypt;Not Approved;???;1;3/27/07;Provisional name Khnum changed to Nah-Hunte because of duplication with Khnum Catena.
Ganymede;[PUNT FACULA];GAFA2610S11780;Formation nommée;Tache brillante;FA;PUNT FACULA;Approuvé par l'UAI en 1985;Non applicable;Egypte;égyptien;Non applicable;Non applicable;Non applicable;Non applicable;Terre à l'Est de l'Egypte d’où est originaire Bes. Nom changé en cratère Punt.;117.8;117 ° 48 ' ;-26.1;26 ° 6 '  Sud;228;???;Ganymede;6888;[Punt Facula];Punt Facula;Facula, faculae;FA;228;-26.1;117.8;-25.8;-26.4;120.6;115;Planetographic  +East  0 - 360;;Land east of Egypt where Bes originated. Changed to Punt (crater).;Africa;Egypt;Dropped;1985;1;03.01.2007;
Ganymede;[SAIS FACULA];GAFA3790N34580;Formation nommée;Tache brillante;FA;SAIS FACULA;Approuvé par l'UAI en 1988;Non applicable;Egypte;égyptien;Non applicable;Non applicable;Non applicable;Non applicable;Capitale de l'Egypte au milieu du 7ème siècle avant JC.;345.8;345 ° 48 ' ;37.9;37 ° 54 '  Nord;137;???;Ganymede;6900;[Sais Facula];Sais Facula;Facula, faculae;FA;137;37.9;345.8;38.1;37.8;347.4;344.1;Planetographic  +East  0 - 360;;Capital of Egypt in mid-7th century B.C.;Africa;Egypt;Dropped;1988;1;03.01.2007;
Ganymede;[WADJET];GAAA5380S9110;Formation nommée;Cratère;AA;WADJET;Approuvé par l'UAI en 2000;Déesse;Egypte;égyptien;Non applicable;Non applicable;Non applicable;Non applicable;Déesse égyptienne à t^te de cobra. Même cratère que Nut.;91.1;91 ° 6 ' ;-53.8;53 ° 48 '  Sud;100;100;Ganymede;6928;[Wadjet];Wadjet;Crater, craters;AA;100;-53.8;91.1;;;;;Planetographic  +East  0 - 360;;Egyptian cobra goddess. Same crater as Nut.;Africa;Egypt;Dropped;2000;127;04.09.2009;
Ganymede;ABYDOS FACULA;GAFA3340N20660;Formation nommée;Tache brillante;FA;ABYDOS FACULA;Approuvé par l'UAI en 1985;Non applicable;Egypte;égyptien;Non applicable;Non applicable;Non applicable;Non applicable;Ville égyptienne dans laquelle le dieu Osiris était adoré.;206.6;206 ° 36 ' ;33.4;33 ° 24 '  Nord;180;???;Ganymede;26;Abydos Facula;Abydos Facula;Facula, faculae;FA;180;33.4;206.6;34.8;31.6;208.6;204.2;Planetographic  +East  0 - 360;;Egyptian town where Osiris was worshipped.;Africa;Egypt;Approved;1985;1;10.01.2006;
Ganymede;ACHELOUS;GAAA6180N34830;Formation nommée;Cratère;AA;ACHELOUS;Approuvé par l'UAI en 1979;Dieu;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Dieu des rivières grec. Père de callirrhoe, mère de Ganymède.;348.3;348 ° 18 ' ;61.8;61 ° 48 '  Nord;40;40;Ganymede;33;Achelous;Achelous;Crater, craters;AA;40;61.8;348.3;62.3;61.4;349.1;347.4;Planetographic  +East  0 - 360;;Greek river god. father of Callirrhoe, Ganymede's mother.;Europe;Greek;Approved;1979;19;10.01.2006;
Ganymede;ADAD;GAAA5750N190;Formation nommée;Cratère;AA;ADAD;Approuvé par l'UAI en 1979;Dieu;Assyrie & Babylone;Assyro-Babylonien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu du tonnerre;1.9;1 ° 54 ' ;57.5;57 ° 30 '  Nord;39;39;Ganymede;42;Adad;Adad;Crater, craters;AA;39;57.5;1.9;57.8;57;2.3;1.4;Planetographic  +East  0 - 360;;Assyro-Babylonian god of thunder.;Asia;Assyro-Babylonian;Approved;1979;1;10.01.2006;
Ganymede;ADAPA;GAAA7310N32870;Formation nommée;Cratère;AA;ADAPA;Approuvé par l'UAI en 1979;Dieu;Assyrie & Babylone;Assyro-Babylonien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu qui perdit son immortalité quand, sur lconseil d'Ea, il refusa la nourriture de la Vie.;328.7;328 ° 42 ' ;73.1;73 ° 6 '  Nord;56;56;Ganymede;49;Adapa;Adapa;Crater, craters;AA;56;73.1;328.7;73.7;72.5;330.7;326.6;Planetographic  +East  0 - 360;;Assyro-Babylonian. lost immortality when, at Ea's advice, he refused food of life.;Asia;Assyro-Babylonian;Approved;1979;1;10.01.2006;
