BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Jupiter;NORTH POLAR REGION 0E;JUPR8000N0;Named formation;Jovian  polar region;PR;NORTH POLAR REGION 0E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;0,00;0°0';80;80°0';77900;58600;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH POLAR REGION 90E;JUPR8000N9000;Named formation;Jovian  polar region;PR;NORTH POLAR REGION 90E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;90,00;90°0';80;80°0';77900;58600;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH POLAR REGION 180E;JUPR8000N18000;Named formation;Jovian  polar region;PR;NORTH POLAR REGION 180E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;180,00;180°0';80;80°0';77900;58600;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH POLAR REGION 270E;JUPR8000N27000;Named formation;Jovian  polar region;PR;NORTH POLAR REGION 270E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;270,00;270°0';80;80°0';77900;58600;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH NORTH TEMPERATE ZONE 0E;JUZO4200N0;Named formation;Light colored region;ZO;NORTH NORTH TEMPERATE ZONE 0E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;0,00;0°0';42;42°0';333600;4300;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH NORTH TEMPERATE ZONE 90E;JUZO4200N9000;Named formation;Light colored region;ZO;NORTH NORTH TEMPERATE ZONE 90E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;90,00;90°0';42;42°0';333600;4300;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH NORTH TEMPERATE ZONE 180E;JUZO4200N18000;Named formation;Light colored region;ZO;NORTH NORTH TEMPERATE ZONE 180E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;180,00;180°0';42;42°0';333600;4300;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH NORTH TEMPERATE ZONE 270E;JUZO4200N27000;Named formation;Light colored region;ZO;NORTH NORTH TEMPERATE ZONE 270E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;270,00;270°0';42;42°0';333600;4300;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH NORTH TEMPERATE BELT 0E;JUBE3700N0;Named formation;Dark colored region;BE;NORTH NORTH TEMPERATE BELT 0E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;0,00;0°0';37;37°0';358500;4800;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH NORTH TEMPERATE BELT 90E;JUBE3700N9000;Named formation;Dark colored region;BE;NORTH NORTH TEMPERATE BELT 90E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;90,00;90°0';37;37°0';358500;4800;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH NORTH TEMPERATE BELT 180E;JUBE3700N18000;Named formation;Dark colored region;BE;NORTH NORTH TEMPERATE BELT 180E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;180,00;180°0';37;37°0';358500;4800;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH NORTH TEMPERATE BELT 270E;JUBE3700N27000;Named formation;Dark colored region;BE;NORTH NORTH TEMPERATE BELT 270E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;270,00;270°0';37;37°0';358500;4800;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH TEMPERATE ZONE 0E;JUZO3300N0;Named formation;Light colored region;ZO;NORTH TEMPERATE ZONE 0E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;0,00;0°0';33;33°0';376500;4900;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH TEMPERATE ZONE 90E;JUZO3300N9000;Named formation;Light colored region;ZO;NORTH TEMPERATE ZONE 90E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;90,00;90°0';33;33°0';376500;4900;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH TEMPERATE ZONE 180E;JUZO3300N18000;Named formation;Light colored region;ZO;NORTH TEMPERATE ZONE 180E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;180,00;180°0';33;33°0';376500;4900;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH TEMPERATE ZONE 270E;JUZO3300N27000;Named formation;Light colored region;ZO;NORTH TEMPERATE ZONE 270E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;270,00;270°0';33;33°0';376500;4900;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH TEMPERATE BELT 0E;JUBE2700N0;Named formation;Dark colored region;BE;NORTH TEMPERATE BELT 0E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;0,00;0°0';27;27°0';400000;9700;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
Jupiter;NORTH TEMPERATE BELT 90E;JUBE2700N9000;Named formation;Dark colored region;BE;NORTH TEMPERATE BELT 90E;Unknown origin (18th century ?);Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;90,00;90°0';27;27°0';400000;9700;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data;No IAU data
