BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Jupiter;REGION POLAIRE NORD 0E;JUPR8000N0;Formation nommée;Région polaire jovienne;PR;REGION POLAIRE NORD 0E;Origine inconnue (18ème siècle ?);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;0,00;0°0';80;80°0';77900;58600;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI
Jupiter;REGION POLAIRE NORD 90E;JUPR8000N9000;Formation nommée;Région polaire jovienne;PR;REGION POLAIRE NORD 90E;Origine inconnue (18ème siècle ?);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;90,00;90°0';80;80°0';77900;58600;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI
Jupiter;REGION POLAIRE NORD 180E;JUPR8000N18000;Formation nommée;Région polaire jovienne;PR;REGION POLAIRE NORD 180E;Origine inconnue (18ème siècle ?);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;180,00;180°0';80;80°0';77900;58600;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI
Jupiter;REGION POLAIRE NORD 270E;JUPR8000N27000;Formation nommée;Région polaire jovienne;PR;REGION POLAIRE NORD 270E;Origine inconnue (18ème siècle ?);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;270,00;270°0';80;80°0';77900;58600;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI
Jupiter;ZONE TEMPEREE NORD NORD 0E;JUZO4200N0;Formation nommée;Région colorée pâle;ZO;ZONE TEMPEREE NORD NORD 0E;Origine inconnue (18ème siècle ?);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;0,00;0°0';42;42°0';333600;4300;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI
Jupiter;ZONE TEMPEREE NORD NORD 90E;JUZO4200N9000;Formation nommée;Région colorée pâle;ZO;ZONE TEMPEREE NORD NORD 90E;Origine inconnue (18ème siècle ?);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;90,00;90°0';42;42°0';333600;4300;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI
Jupiter;ZONE TEMPEREE NORD NORD 180E;JUZO4200N18000;Formation nommée;Région colorée pâle;ZO;ZONE TEMPEREE NORD NORD 180E;Origine inconnue (18ème siècle ?);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;180,00;180°0';42;42°0';333600;4300;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI
Jupiter;ZONE TEMPEREE NORD NORD 270E;JUZO4200N27000;Formation nommée;Région colorée pâle;ZO;ZONE TEMPEREE NORD NORD 270E;Origine inconnue (18ème siècle ?);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;270,00;270°0';42;42°0';333600;4300;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI
Jupiter;BANDE TEMPEREE NORD NORD 0E;JUBE3700N0;Formation nommée;Région colorée sombre;BE;BANDE TEMPEREE NORD NORD 0E;Origine inconnue (18ème siècle ?);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;0,00;0°0';37;37°0';358500;4800;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI
Jupiter;BANDE TEMPEREE NORD NORD 90E;JUBE3700N9000;Formation nommée;Région colorée sombre;BE;BANDE TEMPEREE NORD NORD 90E;Origine inconnue (18ème siècle ?);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;90,00;90°0';37;37°0';358500;4800;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI;Pas de données UAI
