BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated
Mars;ZARANJ;MAAA1223N11305;Formation nommée;Cratère;AA;Ville en Afghanistan.;Approuvé par l'UAI en Feb 26, 2008;Non applicable;Afghanistan;afghan;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;113,05;113 ° 3 ' ;12,23;12 ° 14 ' ;mc14;27,41;27,41;Mars;14337;Zaranj;Zaranj;Crater, craters;AA;27.41;12.23;113.05;12.47;12,00;113.29;112.82;Planetographic  +East  0 - 360;mc14;Town in Afghanistan.;Asia;Afghanistan;Approved;Feb 26, 2008;36;11/17/10
Mars;SHALBATANA VALLIS;MAVA741N31791;Formation nommée;Vallée;VA;"Mot pour  ""Mars"" en Akkadian.";Approuvé par l'UAI en 1973;Non applicable;Accadie;accadien;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;317,91;317 ° 55 ' ;7,41;7 ° 25 ' ;mc11;1 029,00;???;Mars;5460;Shalbatana Vallis;Shalbatana Vallis;Vallis, valles;VA;1 029,00;7.41;317.91;15.89;0.24;320.22;314.87;Planetographic  +East  0 - 360;mc11;"Word for ""Mars"" in Akkadian.";Asia;Akkadian (Accadian);Approved;1973;62;10/01/2006
Mars;FLOQ;MAAA1511N10716;Formation nommée;Cratère;AA;Ville en Albania.;Approuvé par l'UAI en 1988;Non applicable;Albanie;albanien;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;107,16;107 ° 10 ' ;15,11;15 ° 7 ' ;mc14;2,55;2,55;Mars;1981;Floq;Floq;Crater, craters;AA;2.55;15.11;107.16;15.13;15.09;107.18;107.14;Planetographic  +East  0 - 360;mc14;Town in Albania.;Europe;Albania;Approved;1988;36;11/17/10
Mars;DRILON VALLIS;MAVA726N30766;Formation nommée;Vallée;VA;Nom ancien de la rivière Drin, Albanie.;Approuvé par l'UAI en 1985;Non applicable;Albanie;albanien;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;307,66;307 ° 40 ' ;7,26;7 ° 16 ' ;mc10;118.53;???;Mars;1639;Drilon Vallis;Drilon Vallis;Vallis, valles;VA;118.53;7.26;307.66;7.91;6.55;308.1;307.21;Planetographic  +East  0 - 360;mc10;Nom classique for present Drin Rivière, Albania.;Europe;Albania;Approved;1985;56;10/01/2006
Mars;HAMAGUIR;MAAA4901N13251;Formation nommée;Cratère;AA;Site de lancement algérien;Approuvé par l'UAI en 1979;Non applicable;Algérie;algérien;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;132,51;132 ° 31 ' ;49,01;49 ° 1 ' ;mc07;0,82;0,82;Mars;2337;Hamaguir;Hamaguir;Crater, craters;AA;0.82;49.01;132.51;49.02;49.01;132.52;132.5;Planetographic  +East  0 - 360;mc07;Algerian launch site.;Africa;Algeria;Approved;1979;36;11/17/10
Mars;IRHAREN;MAAA3481N14082;Formation nommée;Cratère;AA;Ville en Algerie.;Approuvé par l'UAI en 1991;Non applicable;Algérie;algérien;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;140,82;140 ° 49 ' ;34,81;34 ° 49 ' ;mc07;6,48;6,48;Mars;2715;Irharen;Irharen;Crater, craters;AA;6.48;34.81;140.82;34.86;34.75;140.89;140.76;Planetographic  +East  0 - 360;mc07;Town in Algeria.;Africa;Algeria;Approved;1991;36;11/17/10
Mars;MEDRISSA;MAAA1885N30343;Formation nommée;Cratère;AA;Ville en Algerie.;Approuvé par l'UAI en 1988;Non applicable;Algérie;algérien;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;303,43;303 ° 26 ' ;18,85;18 ° 51 ' ;mc10;19,52;19,52;Mars;3794;Medrissa;Medrissa;Crater, craters;AA;19.52;18.85;303.43;19.01;18.68;303.61;303.26;Planetographic  +East  0 - 360;mc10;Town in Algeria.;Africa;Algeria;Approved;1988;36;11/17/10
Mars;MILA;MAAA2744S33925;Formation nommée;Cratère;AA;Ville en Algerie.;Approuvé par l'UAI en 1976;Non applicable;Algérie;algérien;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;339,25;339 ° 15 ' ;-27,44;-27 ° 26 ' ;mc19;10,87;10,87;Mars;3891;Mila;Mila;Crater, craters;AA;10.87;-27.44;339.25;-27.34;-27.53;339.35;339.15;Planetographic  +East  0 - 360;mc19;Town in Algeria.;Africa;Algeria;Approved;1976;36;11/17/10
Mars;HOUSTON;MAAA4856N13595;Formation nommée;Cratère;AA;Site de contrôle de mission US.;Approuvé par l'UAI en 1979;Non applicable;Etats Unis d'Amérique;américain;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;135,95;135 ° 57 ' ;48,56;48 ° 34 ' ;mc07;1,98;1,98;Mars;2561;Houston;Houston;Crater, craters;AA;1.98;48.56;135.95;48.58;48.55;135.97;135.92;Planetographic  +East  0 - 360;mc07;American mission control site.;North America;American;Approved;1979;36;11/17/10
Mars;GOLDSTONE;MAAA4811N13458;Formation nommée;Cratère;AA;Site de suivi US.;Approuvé par l'UAI en 1979;Non applicable;Etats Unis d'Amérique;américain;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;134,58;134 ° 35 ' ;48,11;48 ° 7 ' ;mc07;1,03;1,03;Mars;2211;Goldstone;Goldstone;Crater, craters;AA;1.03;48.11;134.58;48.11;48.1;134.59;134.57;Planetographic  +East  0 - 360;mc07;American Site de suivi.;North America;American;Approved;1979;36;11/17/10
