BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;LENGHTMI;WIDEMI;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Mercury;Abedin;MEAA6176N34935W;Named formation;Crater;AA;Zainul ABEDIN;IAU approuved Jul 9, 2009;Painter;Bangladesh;from Bangladesh;20;20 th century;???;1914;???;1976;???;349.35;10 ° 39 '  W;61.76;61 ° 14 ' N;H-02;116.23;116.23;70;70;Mercury;14574;Abedin;Abedin;Crater, craters;AA;116.23;61.76;349.35;63.13;60.4;352.24;346.47;Planetographic  +East  0 - 360;H-02;Zainul. Bangladeshi painter and printmaker (1914-1976).;Asia;Bangladesh;Approved;Jul 9, 2009;211;07/03/2011;
Mercury;Abu Nuwas;MEAA1776N33896W;Named formation;Crater;AA;ABU NUWAS;IAU approuved 1976;Poet;Syria;from Syria;19;19 th century;???;1756;???;1810;???;338.96;21 ° 2 '  W;17.76;17 ° 14 ' N;H-06;116.76;116.76;70;70;Mercury;21;Abu Nuwas;Abu Nuwas;Crater, craters;AA;116.76;17.76;338.96;19.13;16.39;340.4;337.52;Planetographic  +East  0 - 360;H-06;Arab poet (c. 1756-1810).;Asia;Syria;Approved;1976;59;07/03/2011;
Mercury;Adventure Rupes;MERU6553S29513W;Named formation;Scarp;RU;ADVENTURE RUPES;IAU approuved 1976;Ship;England;from England;Not appliable;Not appliable;???;Not appliable;???;Not appliable;One of Cook's ships on second voyage to the Pacific, 1772-75.;295.13;64 ° 52 '  W;-65.53;66 ° 32 ' S;H-15;340.63;??;206;??;Mercury;60;Adventure Rupes;Adventure Rupes;Rupes, rupÄ“s;RU;340.63;-65.53;295.13;-63.5;-65.56;303.52;287.22;Planetographic  +East  0 - 360;H-15;English. one of Cook's ships on second voyage to the Pacific, 1772-75.;Europe;England;Approved;1976;59;07/03/2011;
Mercury;Africanus Horton;MEAA5102S31871W;Named formation;Crater;AA;James Beale aka AFRICANUS HORTON;IAU approuved 1976;Author;Sierra Leone;from Sierra Leone;19;19 th century;???;1835;???;1883;???;318.71;41 ° 17 '  W;-51.02;52 ° 1 ' S;H-11;131.91;131.91;79;79;Mercury;76;Africanus Horton;Africanus Horton;Crater, craters;AA;131.91;-51.02;318.71;-49.47;-52.57;321.17;316.24;Planetographic  +East  0 - 360;H-11;(James Beale). Sierra Leonean author, folklorist (1835-1883).;Africa;Sierra Leone;Approved;1976;59;07/03/2011;
Mercury;Ahmad Baba;MEAA5832N23155W;Named formation;Crater;AA;Abu-a AHMAD BABA;IAU approuved 1979;Writer;Sudan;from Sudan;17;17 th century;???;1556;???;1627;???;231.55;128 ° 27 '  W;58.32;58 ° 41 ' N;H-03;126.27;126.27;76;76;Mercury;99;Ahmad Baba;Ahmad Baba;Crater, craters;AA;126.27;58.32;231.55;59.8;56.84;234.37;228.72;Planetographic  +East  0 - 360;H-03;Abu-a.-Abbas Aj,Ad Obm Aj,Ad a.-Takruri Al-Massufi. Sudanese writer (1556-1627).;Africa;Sudan;Approved;1979;59;07/03/2011;
Mercury;Ailey;MEAA4547N17794E;Named formation;Crater;AA;Alvin AILEY;IAU approuved Apr 24, 2012;Dancer;United States;from United States;20;20 th century;???;1931;???;1989;???;177.94;177 ° 4 '  E;45.47;45 ° 32 ' N;H-04;20.58;20.58;12;12;Mercury;14953;Ailey;Ailey;Crater, craters;AA;20.58;45.47;177.94;45.66;45.27;178.29;177.6;Planetographic  +East  0 - 360;H-04;Alvin. American dancer and choreographer (1931-1989).;North America;United States;Approved;Apr 24, 2012;75;4/24/12;
Mercury;Aksakov;MEAA3477N28130W;Named formation;Crater;AA;Sergey AKSAKOV;IAU approuved Apr 24, 2012;Author;Russia;from Russia;19;19 th century;???;1791;???;1859;???;281.3;78 ° 42 '  W;34.77;34 ° 14 ' N;H-02;173.61;173.61;105;105;Mercury;14954;Aksakov;Aksakov;Crater, craters;AA;173.61;34.77;281.3;36.8;32.73;283.65;278.95;Planetographic  +East  0 - 360;H-02;Sergey. Russian author (1791-1859).;Europe;Russia;Approved;Apr 24, 2012;75;4/24/12;
Mercury;Al Akhtal;MEAA5973N25986W;Named formation;Crater;AA;AL AKHTAL;IAU approuved 1985;Poet;Arabia;from Arabia;-6;6 th century B.C.;???;. 64;???;-710;???;259.86;100 ° 8 '  W;59.73;59 ° 16 ' N;H-03;94.29;94.29;57;57;Mercury;144;Al-Akhtal;Al Akhtal;Crater, craters;AA;94.29;59.73;259.86;60.84;58.62;262.06;257.66;Planetographic  +East  0 - 360;H-03;Arab poet (c. 640-710).;Asia;Arabian;Approved;1985;59;07/03/2011;
Mercury;Al Hamadhani;MEAA3902N26805W;Named formation;Crater;AA;AL HAMADHANI;IAU approuved 1979;Writer;Arabia;from Arabia;11;11 th century;???;???;???;1007;???;268.05;91 ° 57 '  W;39.02;39 ° 59 ' N;H-03;167.34;167.34;101;101;Mercury;147;Al-Hamadhani;Al Hamadhani;Crater, craters;AA;167.34;39.02;268.05;40.99;37.06;270.58;265.52;Planetographic  +East  0 - 360;H-03;Arab writer (d. 1007).;Asia;Arabian;Approved;1979;80;07/03/2011;
Mercury;Al Jahiz;MEAA142N33834W;Named formation;Crater;AA;AL JAHIZ;IAU approuved 1976;Author;Arabia;from Arabia;87;87 th century;???;???;???;869;???;338.34;21 ° 40 '  W;1.42;1 ° 35 ' N;H-06;82.86;82.86;50;50;Mercury;148;Al-JÄhiz;Al Jahiz;Crater, craters;AA;82.86;1.42;338.34;2.4;0.45;339.31;337.37;Planetographic  +East  0 - 360;H-06;Arab author (d. 869).;Asia;Arabian;Approved;1976;80;07/03/2011;
Mercury;Alencar;MEAA6363S25623W;Named formation;Crater;AA;Jose de ALENCAR;IAU approuved 1979;Novelist;Brazil;from Brazil;19;19 th century;???;1829;???;1877;???;256.23;103 ° 46 '  W;-63.63;64 ° 38 ' S;H-12;105.95;105.95;64;64;Mercury;176;Alencar;Alencar;Crater, craters;AA;105.95;-63.63;256.23;-62.38;-64.87;259.04;253.43;Planetographic  +East  0 - 360;H-12;Jose de. Brazilian novelist (1829-1877).;South and Central America;Brazil;Approved;1979;59;07/03/2011;
Mercury;Amaral;MEAA2654S11780E;Named formation;Crater;AA;Tarsila do AMARAL;IAU approuved Nov 20, 2008;Painter;Brazil;from Brazil;20;20 th century;???;1886;???;1973;???;117.8;117 ° 12 '  E;-26.54;27 ° 32 ' S;H-13;108.52;108.52;65;65;Mercury;14506;Amaral;Amaral;Crater, craters;AA;108.52;-26.54;117.8;-25.26;-27.81;119.22;116.37;Planetographic  +East  0 - 360;H-13;Tarsila do. Brazilian painter (1886-1973).;South and Central America;Brazil;Approved;Nov 20, 2008;210;07/03/2011;
Mercury;Amru Al Qays;MEAA1237N18399W;Named formation;Crater;AA;AMRU AL QAYS;IAU approuved 1976;Poet;Arabia;from Arabia;??;??;???;???;???;???;???;183.99;176 ° 1 '  W;12.37;12 ° 38 ' N;H-08;47.02;47.02;28;28;Mercury;244;Amru Al-Qays;Amru Al Qays;Crater, craters;AA;47.02;12.37;183.99;12.93;11.82;184.56;183.43;Planetographic  +East  0 - 360;H-08;Arab poet (pre-Islamic).;Asia;Arabian;Approved;1976;80;07/03/2011;
Mercury;Andal;MEAA4748S32237W;Named formation;Crater;AA;ANDAL;IAU approuved 1976;Writer;India;from India;10;10 th century;???;???;???;???;???;322.37;37 ° 38 '  W;-47.48;48 ° 29 ' S;H-11;108.55;108.55;65;65;Mercury;257;Andal;Andal;Crater, craters;AA;108.55;-47.48;322.37;-46.2;-48.75;324.26;320.48;Planetographic  +East  0 - 360;H-11;10th century Tamil (South Indian) writer.;Asia;India;Approved;1976;80;07/03/2011;
